English,Hindi
You know what else is intense?  What?,आप जानते हैं कि और क्या तीव्र है?
but all our political parties do,लेकिन हमारे सभी राजनीतिक दल करते हैं
Apka favourite pokemon kaunsa hai?,एपीका पसंदीदा पिकमोन काना?
were going on a 100000 vacation,100000 छुट्टी पर जा रहे थे
and secondly it will mean that,और इसका मतलब है कि इसका मतलब है कि
All the people I have met who are part of this community who are working on top tier,सभी लोगों से मिले हैं जो इस समुदाय का हिस्सा हैं जो शीर्ष टाई में काम कर रहे हैं
where you will get to listen to many such audiobooks,ऐसी कई ऑडियोबुकों को सुनने के लिए आप प्राप्त होंगे
if a flag is planted on the moon,यदि चाँद पर फ्लैग लगा हुआ है
But its been broken down into small chapters of 810 minutes,लेकिन इसकी टूटी हुई 810 मिनट के छोटे अध्यायों में
and powerful kingdom till the 19th century,और उन्‍नीसवीं सदी तक शक्‍तिशाली राज्य
Oh yeah  Oh my goodness,ओह हाँ मेरी भलाई
they just put up a photo and stay happy,वे सिर्फ एक तस्वीर डाल और खुश रहते हैं
bhi because of algorithm change hote rehte hai and I dont know how many will understand,एल्गोरिथ्म परिवर्तन के कारण troltt और मैं नहीं जानता कि कितने समझ जाएगा
The 2011 earthquake and tsunami,सन्‌ 2011 में भूकंप और सुनामी आयी
I feel its the perfect example,मैं इसकी बेहतरीन मिसाल महसूस करता हूँ
To a large extent electricity was  supplied through Israel to Gaza,इस्राएल के माध्यम से अज्जा तक बड़ी मात्रा में बिजली प्रदान की गयी
It costs around like 25 dollars,यह 25 डॉलर की तरह चारों ओर लागत
were mostly spent in the hospital,ज़्यादातर अस्पताल में काम करते थे
Its not in perfect form,इसकी सही तरह से नहीं
okay number one dont turn it on hold on,ठीक नंबर एक पर इसे बारी है
There are alphabets and numbers written on this board,इस बोर्ड पर पढ़े गए वर्णमाला और संख्या हैं
the case companies that sell so many cases you have no,मामले कंपनियों कि इतने सारे मामलों को बेचने के लिए आप नहीं है
Being completed only in 2019,सिर्फ 2019 में ही पूरा हो रहा है
Dropped all charges raised by this agency,इस समय द्वारा उठाए गए सभी आरोपों को दबा दिया गया
when in a few minutes AI can give you footage for the movie?,जब कुछ मिनटों में एआई आपको फिल्म के लिए पैर दे सकते हैं?
to a fresh new video of Technical Guruji,तकनीकी गिलजी के नए वीडियो के लिए
Those who have taken the course so far have found it very lifechanging,"अब तक जिन लोगों ने रास्ता अपनाया है, उन्होंने इसे ज़िंदगी में बदल दिया है"
Doosra yeh ki I completely agree with the whole consistency bit,Doosoku Meku मैं पूरी तरह से पूर्ण संगतता बिट के साथ सहमत हैं
What was so different then?,तब क्या बात इतनी भिन्‍न थी?
I dont think that one year later,मुझे नहीं लगता कि एक साल बाद
Some of these animals are even endangered,इनमें से कुछ जानवर भी ख़तरे में हैं
with patience and precision links,धैर्य और ठीक-ठाक कड़ियों के साथ - साथ धैर्य से काम लो
Thats why Aayu has understood its on parking gear,इसी कारण आंदू ने अपनी बिल्डिंग पर अपनी समझ को समझा है
Main toh allinclusive bhi hai,सभी शांघुंढी बुआ के लिए मुख्य
and letting them jump and freefall into the ocean,फिर ख़ुश्क उसे सियाह रंग का कूड़ा कर दिया
When an influencer is involved in a product,जब एक प्रभावक किसी उत्पाद में सम्मिलित होता है
It is the simple and traditional approach,यह सरल और पारंपरिक दृष्टिकोण है
Like this one has little to no sugar,इस तरह के कोई चीनी करने के लिए थोड़ा कम है
He knows that when I make a video on it,वह जानता है कि जब मैं उस पर एक वीडियो बनाता हूँ
We are high up there Oh my God,हम वहाँ उच्च हैं मेरे भगवान
is no distribution of TechBurner but layers in itself no,स्टोरर का कोई वितरण नहीं है परंतु परत स्वयं में नहीं
I wonder if I turn this if hell fall,मुझे आश्चर्य है कि अगर मैं इसे मोड़ अगर नरक गिर जाता है
I had a surprise waiting for us outside,मैं बाहर हमारे लिए एक आश्चर्य था
tawajjo nahi dera hai toh it is okay,टावावाजो सुआआ यह ठीक है
saying im going to go to the shops and,दुकानों और दुकानों के लिए जाने के लिए जाने के बारे में
because your body needs to acclimatise,क्योंकि आपके शरीर को एक हिसाब लगाने की जरूरत है
I hope you liked this video,मुझे आशा है कि आप इस वीडियो को पसंद आया
about 1500 people among you have joined it,आप में के बारे में लगभग 100 लोगों ने इसे शामिल किया है
ahead of the curve I must say,वक्र के आगे मैं कहना चाहिए
