Hindi,English
भैया चाहे जितना मार लो बस एक बार सर का,"To kill my brother, just one of my own Sir's"
वो नहीं हो सकता सर अरे ये वही है कसाई की,"He can't be it, sir, it's him!"
तरह जब उसको मारेगा ना तब डॉगी भोबो करने,"When he strikes him, do not take him for granted. Do not take him for granted."
मुझे तुझसे कोई पर्सनल दुश्मनी नहीं है,I have no personal enemies against you.
पापी पेट का सवाल ब्रो तू सब्जियां काट के,Bath - sheba's question of a sinner's stomach
धंधे के उसूलों के खिलाफ है सरी खत्म करना,Depicting business values is against self - determination.
इसे भैया नहीं भैया मैंने आज तक कभी किसी,He's not a brother to me until today
है अपुन को गुड लक तो बोलो हैप्पी मर्डर,"Good luck to Hang on, old deader."
डे टू यू हैप्पी मर्डर डे टू यू हे सब लोग,To-do Heppy Marker Deu Tou All People
मां पाप लगेगा इसे पहन के मारा तो और उतार,The mother's sin will take place when she wears it and puts it off
के मारा तो सीधा स्वर्ग जाएंगे मेरी,"Then shall he go straight to heaven, then to me."
हूं नाम बताने में आपका क्या,What about telling me your name?
जाएगा,Will
मारने से मना किया था लेकिन किसी शेर से,I was forbidden to kill but to kill a tiger
ना उलझने के बारे में बोलना भूल,"It is not surprising, then, that we are living in ""the last days "" of this system of things."
कर सकते हैं तेरी बदकिस्मती है एक सेकंड,You can have your bad luck one second
लेट हो गया इसे कहते हैं बैड,"When it's late, it's called Bad."
