English,Hindi,Hinglish
You know what else is intense?  What?,आप जानते हैं कि और क्या तीव्र है?,You know what else is intense? फूल भी फूल गए थे
but all our political parties do,लेकिन हमारे सभी राजनीतिक दल करते हैं,but all our political भविष्य
Apka favourite pokemon kaunsa hai?,एपीका पसंदीदा पिकमोन काना?,Apka favourite pokemon बुरा
were going on a 100000 vacation,100000 छुट्टी पर जा रहे थे,were going on a इस
and secondly it will mean that,और इसका मतलब है कि इसका मतलब है कि,and secondly it will mean ज्यादा ध्यान
All the people I have met who are part of this community who are working on top tier,सभी लोगों से मिले हैं जो इस समुदाय का हिस्सा हैं जो शीर्ष टाई में काम कर रहे हैं,All the people I have met who are part of this community who are working on अंतिम समय पर
where you will get to listen to many such audiobooks,ऐसी कई ऑडियोबुकों को सुनने के लिए आप प्राप्त होंगे,where you will get to listen to many सबसे बड़ा प्रश्न
if a flag is planted on the moon,यदि चाँद पर फ्लैग लगा हुआ है,if a flag is planted on the बिजली- पौधे
But its been broken down into small chapters of 810 minutes,लेकिन इसकी टूटी हुई 810 मिनट के छोटे अध्यायों में,But its been broken down into small chapters पैसा
and powerful kingdom till the 19th century,और उन्‍नीसवीं सदी तक शक्‍तिशाली राज्य,and powerful kingdom till the 19th मैं इस डाल दिया?
Oh yeah  Oh my goodness,ओह हाँ मेरी भलाई,Oh yeah Oh my पथ में
they just put up a photo and stay happy,वे सिर्फ एक तस्वीर डाल और खुश रहते हैं,they just put up a photo and stay तरफ?
bhi because of algorithm change hote rehte hai and I dont know how many will understand,एल्गोरिथ्म परिवर्तन के कारण troltt और मैं नहीं जानता कि कितने समझ जाएगा,bhi because of algorithm change hote rehte hai and I dont know how many दान
The 2011 earthquake and tsunami,सन्‌ 2011 में भूकंप और सुनामी आयी,The 2011 earthquake and कुछ महत्वपूर्ण कहें
I feel its the perfect example,मैं इसकी बेहतरीन मिसाल महसूस करता हूँ,I feel its the कोकी
To a large extent electricity was  supplied through Israel to Gaza,इस्राएल के माध्यम से अज्जा तक बड़ी मात्रा में बिजली प्रदान की गयी,To a large extent electricity was supplied through Israel संचार
It costs around like 25 dollars,यह 25 डॉलर की तरह चारों ओर लागत,It costs around शानदार
were mostly spent in the hospital,ज़्यादातर अस्पताल में काम करते थे,were mostly spent in मॉड्यूल फिर से दिखाएँ
Its not in perfect form,इसकी सही तरह से नहीं,Its not in perfect 30 दिसंबर को
okay number one dont turn it on hold on,ठीक नंबर एक पर इसे बारी है,okay number one dont turn it on अंतिम बार
There are alphabets and numbers written on this board,इस बोर्ड पर पढ़े गए वर्णमाला और संख्या हैं,There are alphabets and numbers written on समुदाय
the case companies that sell so many cases you have no,मामले कंपनियों कि इतने सारे मामलों को बेचने के लिए आप नहीं है,the case companies that sell so many cases शिन्नेई से
Being completed only in 2019,सिर्फ 2019 में ही पूरा हो रहा है,Being completed फिल्म
Dropped all charges raised by this agency,इस समय द्वारा उठाए गए सभी आरोपों को दबा दिया गया,Dropped all charges raised by this सुरक्षित?
when in a few minutes AI can give you footage for the movie?,जब कुछ मिनटों में एआई आपको फिल्म के लिए पैर दे सकते हैं?,when in a few minutes AI can give you footage इसके बारे में बात करें
to a fresh new video of Technical Guruji,तकनीकी गिलजी के नए वीडियो के लिए,to a fresh new video of उसे
Those who have taken the course so far have found it very lifechanging,"अब तक जिन लोगों ने रास्ता अपनाया है, उन्होंने इसे ज़िंदगी में बदल दिया है",Those who have taken the course so far have found it चॉकलेट फैक्टरी
Doosra yeh ki I completely agree with the whole consistency bit,Doosoku Meku मैं पूरी तरह से पूर्ण संगतता बिट के साथ सहमत हैं,Doosra yeh ki I completely agree with the श्रेणी
What was so different then?,तब क्या बात इतनी भिन्‍न थी?,What was पदार्थ
I dont think that one year later,मुझे नहीं लगता कि एक साल बाद,I dont think that सभी सेनाएं
Some of these animals are even endangered,इनमें से कुछ जानवर भी ख़तरे में हैं,Some of these animals are even टुकड़ा खा लिया
with patience and precision links,धैर्य और ठीक-ठाक कड़ियों के साथ - साथ धैर्य से काम लो,with patience and तैयार
Thats why Aayu has understood its on parking gear,इसी कारण आंदू ने अपनी बिल्डिंग पर अपनी समझ को समझा है,Thats why Aayu has understood its यह
Main toh allinclusive bhi hai,सभी शांघुंढी बुआ के लिए मुख्य,Main toh यह पर?
and letting them jump and freefall into the ocean,फिर ख़ुश्क उसे सियाह रंग का कूड़ा कर दिया,and letting them jump and freefall into प्रतिदिन
When an influencer is involved in a product,जब एक प्रभावक किसी उत्पाद में सम्मिलित होता है,When an influencer is involved in यू235 हैटोप
It is the simple and traditional approach,यह सरल और पारंपरिक दृष्टिकोण है,It is the simple इसके 0
Like this one has little to no sugar,इस तरह के कोई चीनी करने के लिए थोड़ा कम है,Like this one has little to भाई
He knows that when I make a video on it,वह जानता है कि जब मैं उस पर एक वीडियो बनाता हूँ,He knows that when I make a video 2004 जब
We are high up there Oh my God,हम वहाँ उच्च हैं मेरे भगवान,We are high up there Oh my सेना
is no distribution of TechBurner but layers in itself no,स्टोरर का कोई वितरण नहीं है परंतु परत स्वयं में नहीं,is no distribution of TechBurner but layers in मुझे
I wonder if I turn this if hell fall,मुझे आश्चर्य है कि अगर मैं इसे मोड़ अगर नरक गिर जाता है,I wonder if I turn this उसका वास्तविक नाम
I had a surprise waiting for us outside,मैं बाहर हमारे लिए एक आश्चर्य था,I had a surprise waiting for us इस्लाम का
tawajjo nahi dera hai toh it is okay,टावावाजो सुआआ यह ठीक है,tawajjo nahi dera hai toh it प्रोटीन
saying im going to go to the shops and,दुकानों और दुकानों के लिए जाने के लिए जाने के बारे में,saying im going to go to the shops क्षेत्र
because your body needs to acclimatise,क्योंकि आपके शरीर को एक हिसाब लगाने की जरूरत है,because your body needs to इस निर्णय से
I hope you liked this video,मुझे आशा है कि आप इस वीडियो को पसंद आया,I hope you वह
about 1500 people among you have joined it,आप में के बारे में लगभग 100 लोगों ने इसे शामिल किया है,about 1500 people among you have अलग है
ahead of the curve I must say,वक्र के आगे मैं कहना चाहिए,ahead of the curve I इस वीडियो का
That will be epic no!?,यह महज़ इतना ही नहीं होगा!,That will फोन
You guys are better than us,तुम लोग हमसे बेहतर हैं,You guys are better than इस
Well after that now he has to make it,ठीक है कि अब के बाद वह इसे बनाने के लिए है,Well after that now he has का
or CSM in short form,छोटे रूप में या एसएसएस एसएस एस एसएसएम,or CSM in short जुलाई
So there was a YouTube program where they collaborated with,तो वहां एक यूट्यूब कार्यक्रम था जहां वे साथ सहयोग किया,So there was a YouTube program where they collaborated इसमें एक अक्षर
The last ruler of the Sikh Empire in India,भारत में भूमध्य सागर का आखिरी शासक,The last ruler of the Sikh Empire in का
I have talked to physics wala he has built a billion,मैं भौतिक वेला से बात की है वह एक अरब का निर्माण किया है,I have talked to physics wala he has कि
in FY 2021 the company incurred a loss of 16 billion,FY 2021 में कंपनी को 16 अरब डॉलर की मौत हो गयी,in FY 2021 the company incurred a loss of मध्य
whether it is Hinduism Buddhism or Christianity,चाहे यह बौद्ध धर्म या मसीहियत हो,whether it is Hinduism Buddhism or चुप
and posted it on YouTube,और इसे यूट्यूब पर लगाया,and posted it मेरा विचार है
China is the worlds 4th largest country,चीन विश्‍व का 4वाँ सबसे बड़ा देश है,China is the worlds स्वयं की समस्याएँ
actor Will Smith was so impressed with this technology,कर्ता विल स्मिथ इस तकनीक से इतना प्रभावित हुआ,actor Will Smith was so impressed with this एक दूसरे के साथ
You are tall 100 advantage,आप उच्च 100 का लाभ हैं,You are इंटरी
but Oh hmm okay yeah pick delicious is,लेकिन ओह ओह हम्म ठीक है खा लिया स्वादिष्ट है,but Oh hmm okay yeah pick delicious और चन्द्रमा
Im gonna do a perimeter check,मैं एक परिधि जाँच करने वाला हूँ,Im gonna do यह सांस्कृतिक है
What do you wanna do?,तुम क्या करना चाहते हो?,What do you मेलो?
And if this is true,और अगर यह सच है,And if और उनके लिए अनवरत यातना है
Because in that you need In the everyday mundane jobs you need robotics,क्योंकि इस में आप की जरूरत रोज़मर्रा की नौकरी में... ... आप रोबोट की जरूरत है,Because in that you need In the everyday mundane jobs you need का तरीका यदि
He is the best challenger in the world,वह दुनिया में सबसे अच्छा चुनौती देनेवाला है,He is the best challenger कि
which can become a fast till deth,जो तेजी से आगे बढ़ रहा है,which can become a fast till ब्लेकके
broadcasted this announcement on the radio,रेडियो पर इस घोषणा को प्रकाशित किया,broadcasted this announcement on मृतलाइन तक पहुँचने हेतु
Jimmy You guys are currently up 20 grand on the line,जिमी तुम लोग अभी लाइन पर 20 हज़ार से अधिक कर रहे हैं,Jimmy You guys are currently up 20 grand on भविष्य
and what is computer generated,और जो कम्प्यूटर उत्पन्न किया है,and what शादी के बाद ठीक
team by picking your dream players to,टीम अपने सपने खिलाड़ियों को चुनने के द्वारा,team by picking your dream प्रचार में रुकावट
America planned a fake moon landing operation can it?,अमेरिका एक नकली चाँद नीचे उतरने की योजना बनाई यह कर सकती है?,America planned a fake moon landing मेरा
about the safety of the transported,कि किसी को पस्त करेगी किसी को बुलन्द,about the safety यहाँ
engine now there are a couple components,इंजन अब एक जोड़े घटक हैं,engine now there are a couple 20 साल का विमान
I have never been to that resort,मैं कभी कि सहारा के लिए नहीं किया गया है,I have never been to that यह बात
Now were going to show Mark around the rest of the house,अब बाकी के घर के आसपास मार्क दिखाने जा रहे थे,Now were going to show Mark around the rest of the इस बिन्दु के साथ
I think trolls negativity absolutely agree there are two types of negativity but I think,मुझे लगता है कि srets Nagtly पूरी तरह से सहमत है कि वहाँ दो प्रकार की भावनाएं हैं लेकिन मुझे लगता है कि,I think trolls negativity absolutely agree there are two types of negativity आज वीडियो
They dont let middlemen in,वे बीच में जाने नहीं देते,They dont let middlemen जानवर
We have less than 24 hours left in the challenge,चुनौती में हमारे पास 24 घंटे से भी कम हैं,We have less than 24 hours left तारा भोजन
The reason were doing this is cause the park,इसका कारण यह है कि इस पार्क का कारण है,The reason were doing this is cause the कृपया!
Recently there was an airstrike on  a 14storey building in Palestine,हाल ही में पलिश्‍तीन में एक १४ टन की इमारत पर एक हवादारइक लगाया गया था,Recently there was an airstrike on a 14storey building in सन्‌ 1797 में साल
talking about the look it is white suits for very occassion time and season,देखने के बारे में बात कर यह बहुत ही तेज सूट समय और मौसम के लिए सफेद सूट है,talking about the look it is white suits for very occassion वह
upon hearing this news was,इस खबर को सुनने के लिए,upon hearing 40 साल
One question that will arise here is,एक सवाल जो यहाँ पैदा होगा वह है,One question that will arise उसे
Did you know about Kashmiri Pandits protests that lasted more than 40 days?,क्या आपको पता है कि Bakee Persewers 40 से अधिक दिनों से अधिक देर तक चला?,Did you know about Kashmiri Pandits protests that lasted more than 40 काला
Ill put the link to that video in the description,मैं लिंक को वर्णन में है कि वीडियो को डाल देंगे,Ill put the link to that video in मेरे लिए
This is our final night sleeping together everybody,यह हमारी अंतिम रात है सभी एक साथ सो रहे हैं,This is our final night sleeping together चाय तथा ट्रॉरे
Even if a mercenary of the private army d!es fighting,निजी सेना डी! लड़ अगर भी,Even if a mercenary of the private 2 एमपी है
OR PLANNING TO START A NEW YOUTUBE CHANNEL IN YEAR 2018,या फिर 2018 में एक नयी फिल्म शुरू करना,OR PLANNING TO START A NEW YOUTUBE CHANNEL IN तरीक़े
Despite the police threats she did not stop,पुलिस की धमकी के बावजूद वह रुक नहीं गयी,Despite the police threats she did देश
Our current camp and all our gear is all the way over there,हमारा मौज़ूदा शिविर और हमारे सभी सामान वहाँ सभी तरह से है,Our current camp and all our gear is all the way परिणाम
The building is so unique that,इमारत इतनी अनोखी है कि,The building is फोन
200000 liquidators were dispatched to actively clean up this area,"सन्‌ 2000 में, इस इलाके को सक्रिय रूप से साफ करने के लिए 00 द्रवों को भेजा गया",200000 liquidators were dispatched to actively clean up भारी
She was so calm and cool and collected,वह इतनी शांत और शांत थी और इकट्ठा किया,She was so calm and cool and बहुत सरल
Now this idol was actually broken,अब यह मूर्ति असल में टूट गई थी,Now this idol हाय एका भाई
This is the whole process of approval when Bhabhi booked a metro coach,यह अनुमोदन की पूरी प्रक्रिया है जब Bbairi एक Mroky बुक,This is the whole process of approval when Bhabhi booked 2030
Whether his trolling was right or wrong,चाहे उसका हिसाब सही था या गलत,Whether his trolling was द्वीप
the mi 24 super hind mark 3 is the,Mmi 24 सुपर निशान 3 है,the mi 24 super hind mark मेरी प्रेमिका
The gardener blames the plants for not working hard  these two had also blossomed,माली इन दोनों को मेहनत न करने के लिए पौधों पर भी दोष लगाता है,The gardener blames the plants for not working hard these two had सेब
Basically things will change in the future,मूलतः बातें भविष्य में बदल जाएँगी,Basically things will change in प्रकाश - संश्‍लेषण हो रहा है
Looking at this reaction it feels that this is the kind of reaction you give when you dont like something but you still give a diplomatic compliment so that the person asking it doesnt feel bad,इस प्रतिक्रिया को देखते हुए यह महसूस करता है कि यह उस तरह की प्रतिक्रिया है जिस तरह आप कुछ पसंद नहीं करते लेकिन फिर भी आप एक प्रशंसा दे देते हैं ताकि वह व्यक्‍ति बुरा महसूस नहीं करता,Looking at this reaction it feels that this is the kind of reaction you give when you dont like something but you still give a diplomatic compliment so that the person asking it पीछे
The Tamil Nadu government has said this,तमिल सरकार ने यह कहा है,The Tamil Nadu government वृक्ष गिर रहा है
This reallife case drew so much attention,इस वास्तविक जीवन - स्थिति ने इतना ध्यान आकर्षित किया,This reallife case drew देश
is a 1 to 1 recreation of the challenge he failed on last time,"पिछली बार वह जिस चुनौती का सामना कर रहा था, वह 1 से 1 है",is a 1 to 1 recreation of the challenge he failed के लिए
Furthermore lets answer the biggest question,इसके अलावा सबसे बड़ी सवाल का जवाब देने देता है,Furthermore lets answer the biggest खून का थक जाना?
a 30 km radius was set up all around this nuclear power plant,30 किलोमीटर की त्रिज्या इस परमाणु ऊर्जा पौधे के चारों ओर स्थापित की गयी,a 30 km radius was set up all around this कैमरा
Writeoffs do not mean that the banks will stop trying to recover this money,राइट्स का मतलब यह नहीं है कि बैंक इस पैसे को ठीक करने की कोशिश करना बंद कर देंगे,Writeoffs do not mean that the banks will stop trying to हरिंदी संस्कृति
How do I put this?,मैं इस कैसे डाल दिया?,How do GT 5 सामान
what you might want to do when youre older um well not really i say um i would go in the path,आप क्या करना चाहते हो सकता है जब आप बड़े उम अच्छी तरह से मैं कहना नहीं था वास्तव में उमआई पथ में जाना होगा,what you might want to do when youre older um well not really i say um i would go in the सुनिश्चित करें
Did you see the guy on the side?,आप पक्ष में आदमी देखा?,Did you see the guy on री- आवरण
I immediately wanted to take the video out and give,मैं तुरंत वीडियो बाहर ले जाना और देना चाहता था,I immediately wanted to take the video out जहाज का
When I need to say something important,जब मैं कुछ महत्वपूर्ण कहने की जरूरत है,When I need to say हान
the Mentos into the coke,कोक में पुरुषों,the Mentos into कनान ठीक?
Its always a two way communication,इसकी हमेशा दो तरह की बातचीत होती है,Its always a two एक धर्म
No the clip of him losing 10 grand,उसे 10 हज़ार खोने का कोई क्लिप नहीं,No the clip of him अंत
and get attached to the CSM module again,और सीएसएसएम मॉड्यूल से फिर संलग्न हो जाओ,and get attached to the रैम
reached Jammu on 30th December,30 दिसंबर को जामी पहुँच गया,reached Jammu on संभव
that costed Blake everything last time,यही कारण है कि सब कुछ अंतिम समय खर्च किया,that costed Blake everything last नीचे
I will say that if you like this video then share it in your community,मैं कहता हूं कि अगर आप इस वीडियो को पसंद करते हैं तो यह अपने समुदाय में साझा,I will say that if you like this video then share it in your भुजाओं की ओर
For South if Im from Tamil Nadu Im not from Chennai,दक्षिण के लिए अगर तमिल नार्दू से मैं हूँ ... ... ... लेन्नेई से नहीं,For South if Im from Tamil Nadu Im not पति पांव
people like these are drawn to such gory and violent films,ऐसे लोगों को ऐसे हिंसक और हिंसक फिल्मों की ओर आकर्षित किया जाता है,people like these are drawn to such gory and बनाया गया
How does the guy whos currently standing there feel safe?,कैसे उस आदमी जो वर्तमान में खड़ा वहाँ सुरक्षित महसूस करता है?,How does the guy whos currently standing there feel वहां गिलास टूटने वाला है
everyone is talking about it,हर कोई इसके बारे में बात कर रहा है,everyone is talking about मूल्य सीमा
All the Maldivian presidents before him,सभी मालवीनी राष्ट्रपति उसके सामने,All the Maldivian presidents २००के लिए पैसा
chocolate factory to chocolate factory,चॉकलेट कारखाने में चॉकलेट फैक्टरी,chocolate factory to chocolate विचार
And Uber conveniently does helicopter deliveries,और उबेरी सरल ढंग से हेलीकाप्टर पूरा करता है,And Uber conveniently does सड़क पर
say it like this stop it we will tell you in the intro,यह इस तरह बंद करो हम आप में बता देंगे,say it like this stop it we will tell you in चीनी तो उम
The British ships which were coming to evacuate the Allied soldiers,ब्रिटेन के जहाजों जो सभी खड़ी सैनिकों पर हमला करने के लिए आ रहे थे,The British ships which were coming to evacuate the Allied रद्द कर रहा है
Chocolate of which I already ate a piece,मैं पहले से ही एक टुकड़ा खाया है कि किस के लिए कोलेट करें,Chocolate of which I already लगभग 1920 हजार
With one click your script is ready,एक क्लिक करने पर आपका स्क्रिप्ट तैयार है,With one click your script एलइनर मॉड्यूल
You may also feel like more people bought the model after you bought it,आप शायद और अधिक लोगों की तरह महसूस करें आप इसे खरीद के बाद मॉडल खरीदा,You may also feel like more people bought the model after you bought बहुत करीब
When he turns on the TV with what mindset did he turn it on?,जब वह टी. वी.,When he turns on the TV with what mindset did he turn प्रारंभ करने के लिए समय
I would eat that every day,मैं हर दिन उसे खा लेता,I would eat that एक
And only this U235 isotope,और केवल यही यू235 हैोptoop,And only this U235 श्वेत रंग में
If it lands on this side its 0,यदि यह इस ओर के देश 0 पर है,If it lands on this युग का
