Hindi,English
लबा सुनले,Leaf Sol
सदाए,forever
ये,That's it.
प्रशंसा,Praise
बाहर गरीबों में बांट,How do we know that God's Kingdom is the only real hope for mankind?
दो तुम दोनों को बहुत बहुत मुबारक,The two of you were very happy.
हो सानिया तुम्हें भी बहुत बहुत मुबारक हो,"Osmania, you too are blessed"
आपको,You
भी भाभी आपको बहुत बहुत मुबारक शकील भाई,Even my sister-in-law was very happy to be with you
आपको भी,You too.
मुबारक यह मुलाज में माना जी,Happy as This Well - known G.
मैम,Mem
सानिया अनुष आज से मेरी बेटी,Cynthia
हो यह तो हमेशा से ही आपकी बेटी थी भाभी,It's always your daughter-in-law.
जान बस आज से आपकी अमानत हुई,Life - Just Trust You From Today
जीती,won
रहो सलाम वालेकुम च अरे आ गई तुम आई जी,'Peace be upon you' he said. 'Peace be upon you.
अभी अभी अच्छा सुनो वोम ने अपने दोस्तों,Well listen right now he's his friends
की दावत रखी है बाकी सब तो हमने बना दिया,and We made all of them to enjoy the feast.
पर तुम्हें पता है ना कि बिरयानी हमसे,"But you know, not us."
नहीं बनती चावल संभलते ही नहीं है तो अब,Doesn't grow rice alone so now
तुम आ गई हो तो अगर तुम्हारे पास वक्त हो,"If you have any time,"
आप भी फिकर है मैं बना दूंगी तुमने तो,You're too stupid I'll make you so
मेरी मुश्किल आसान कर दी जाओ बेटा तुम थक,"Let's make it difficult for me to be tired of you, son."
गई होगी फ्रेश हो जाओ मैं तब तक चावल,I've got to be jealous I've yet rice
निकाल देती मैं बस अभी चेंज कर कर,I just want to make a change now
आती मुश्किल हल कर दी मेरी खुश रहे,I'm happy to be able to solve the problem
बच्ची भाभी,Baby-in-law
तेशाम जवेरिया को पसंद करता है और मैंने,Tion likes Javeria and I
गलत फहमी में आपसे आयशा का रिश्ता मांग,Ask for your wife's intimacy in the wrong order
लिया मैंने जब आयशा को पहली बार देखा था,I've seen her for the first time
तो उसको देख मेरे दिल में खवाहिश जा गई थी,"and behold, my heart was eager to see it."
काश इस लड़की को मैं अपनी बहू बना,"Oh, would that I had made this girl my daughter-in-law"
सकती मुझे क्या मालूम अल्लाह ताला ने मेरी,And what can I know? Allah has locked me in the lock.
इस दुआ को इस तरह से कबूल,ALSO IN THIS ISSUE
कर,Do it.
आपी आप क्या कर रही है कु नहीं बिरयानी,You don't have a fever what you're doing
बना रही थी व तेशाम नहीं उसके दोस्तों की,Being built and not having her friends
दावत है ची ने कहा कि बिरयानी बना दो बस,The feast is Chios said to be a bus
दम पर रखी हुई है तो आपने मना क्यों नहीं,Why don't you refuse if you've been executed
किया चाची को अगर तेशाम ने अपने फ्रेंड्स,Do you know how much you're doing?
को बुलाया था तो बाहर से खाना मंगवा लेता,"He called me to him, so he would call him from outside."
ना हमने ठेका तो नहीं लिया हुआ उसका वैसे,We didn't hurt her like her
तो व आपको पसंद नहीं करता काम के टाइम पर,So you don't like it at work time.
आप याद आ गई है चलो कोई बात नहीं ची ने,"You've been remembered, let's have nothing to say"
हेल्प मांगी तो मैंने कर दी इट्स,"If I did seek help, I would pay my taxes."
ओके आयशा बेटा दम आ गया बिरयानी को वो इ,"OK, daughter-in-law's son-in"
तोशाम के दोस्त आ गए हैं तो मैंने कहा,"So when the friends came, I said,"
खाना लगा दूं जी चाची बस दम पर रखी हुई है,"I want to eat, my aunt's just lying on her head."
और हां रायता और सैलेड भी बना दिया था,And [also] Yassa and Salsil.
मैंने साथ यह तो तुमने बहुत अच्छा किया,"I did it, so you did it very well."
बेटा रायता और सलाद तो मैं भूल ही गई थी,Sona and Karen I've just forgotten
आप ही तो सबके साथ अच्छा ही करती है मगर,"You are all good, but you're always good."
दूसरों को भी तो सोचना चाहिए कि वो आप ही,Others should think that he himself.
के साथ क्या कर रहे हैं चज वैसे तो आपके,What's wrong with yours if
बेटे को मेरी बहन जहर लगती है हां अब काम,"The son's poisons my sister, now job"
के वक्त में आयशा आयशा आयशा की टटर शुरू,"At the time of her pregnancy, she became pregnant as a nurse."
कर दी उसने जवेरिया मैंने तुमसे तो कोई,I've given him any of your business.
काम नहीं कहा ना जब आयशा को कोई तराज नहीं,Didn't work when she didn't have a suit?
है तो तुम क्यों बोल रही हो मगर मुझे,So why are you talking to me but I'm not here?
ऐतराज है आप ही को तो कभी किसी बात से,Ot Kingdom is the only thing you ever have.
