Hindi,English
हर साल  लाख से भी ज्यादा बच्चे मुस्कुराने,More than a million children smile each year
की काबिलियत के बिना पैदा होते हैं,They are born without the ability of the Creator of all things.
और उससे भी बुरा।,And worse.
फिलिपीन जाने के लिए कहा गया।,It was asked to go to Philipne.
हम एक के बाद एक कई इलाकों में गए,We went to a number of areas after one
और हमने देखा कि ऐसे,And We found him (a disbeliever) in the same manner (i.e. the angels or the angels or the angels or the angels or the Messengers or the Messengers or the Messengers or the Messengers or the Messengers or the Messengers or the Messengers of Allah).
बच्चे हैं जिनके होठ या तालू फटे हुए हैं।,"There are babies who are torn up, bet or thuu."
समझ नहीं आ रहा था क्या करें। कहा जो कर,I don't know what to do.
सकते हैं वो करते हैं और हम बस  का इलाज,They can do it and we just treat it.
कर पाए और बाकियों को वापस भेजना पड़ा।,I had to pay taxes and send others back.
फिर हमने खुद से कहा ओके,"Then We said to ourselves, "" OK."""
देखने का अनोखा मौका मिला।,It's a unique chance to see.
उसे सुबह कैथेड्रल बेल को,To her Catatar Bell in the morning
सर्जरी प्रोग्राम में आई थी,An surgery program was in progress
तब उसकी आंख पर चोट लगी थी।,Then his eye was hurt.
वह अजीब तरह से बात करती थी,She used to talk weirdly
इसलिए उसे पत्थरों से मारा था।,So he had to hit him with stones.
के लिए डेडिकेट करूंगा।,I'll do the dedinate.
हम एक छोटे बच्चे से मिले थे,We met a little child
और वैसे प्यारे बच्चे से मैं अपनी पूरी,And so my whole being to my beloved baby
चुने जाने का मौका पाएं।,Get the chance to get selected.
और अगर चुने नहीं गए तो अपने,And if not selected
बेटे के लिए यह मौका पाने का,The Son's Day - Is It for the Son?
खुद उसे वह नहीं दे पा रहे हैं।,They're not able to give him himself.
और जब हमने देखा कि यह इन परिवारों के लिए,And when we saw this for these families
कितना मुश्किल है। हमें मदद करनी ही थी,We had to help.
तो हमने  से भी ज्यादा,but We have done so far more.
हम सर्जरी की अनाउंसमेंट करने वाले हैं।,We're about to make the operation of surgery.
अभी उन्हें बताया,Just tell them
जाने वाला है कि उनकी जिंदगी,That's gonna let his life go
डैन और डैरन शहर घूमने निकल गए।,Dan and Darren went out to visit the city.
हम पार्क में चल रहे थे और हमें यहां मिला,We were running in the park and found us here
अनुभवो में से एक था।,It was one of experience.
इससे दिखता है कि डैरेन,It looks like Darren
बल्कि उस परिवार और समाज की भी।,But even that family and society.
हमारे पेशेंट्स को एक नॉर्मल जिंदगी,A normal life for our communications
जीने का असल में एक मौका मिलता है,Life Really Has a chance
क्लेफ्ट ठीक होना मतलब,"I mean, it's okay."
साल पहले ऑपरेशन स्माइल ने मदद की थी।,"Years ago, Ishmael had helped."
मैं इसीलिए नर्सिंग की पढ़ाई करना चाहती थी,That's why I wanted to study nursing
क्योंकि मुझे मेरे जैसे,Because I like mine
ऐसी सर्जरी करें तब हम मदद कर पाएं।,"If you do such surgery, we can help."
मतलब अगर आप ऑपरेशन स्माइल को डोनेट नहीं,You mean if you don't do the operation He wouldn't do it.
करते हो तो आपको बच्चों से नफरत है।,"If you do, you hate the kids."
सब्सक्राइब और ऑपरेशन स्माइल को डोनेट करिए।,Don't do it to subsidience and operation Ishmael.
