Hindi,English
इंप्रेशंस करने वाले हैं और एक,We're about to split up and one.
बात कहूं जो मैंने पहले भी कही थी हमारे,I told you what I had said earlier
ट्रेंड्स के वीडियो में बताया था कि  इज,"In the video on Trends, I was told that E."
गोइंग टू डोमिनेट इनफैक्ट अनबॉक्सिंग में,Grow To Dominate Inthese Factors Unboxing
हम आर्टिफिशियल इंटेलिजेंस के फीचर्स,We features of the Artificial Integration
क्याक्या है इसके बारे में बात करेंगे और,What's what we'll talk about and what's that?
एक बात बताऊं  अरा सेट्स अप बेंचमार्क,Say one thing
बहुत सारी चीजें हैं जो आपको जाननी है इस,There are so many things you need to know
फोन के बारे में बॉक्स थोड़ा बड़ा है बट,The box is too big about the phone
ये हमारे लिए अगर आप खरीदोगे तो आपको यह,If you buy it for us you
छोटा बॉक्स मिलने वाला है जी हां ज्यादा,The short box is going to meet Yes more
कुछ नहीं होता है और कुछ है क्या इसमें के,"And there is nothing of it, and of it there is."
अंदर नहीं और कुछ नहीं है,There's nothing inside and nothing else
लुक एट द फोन हाथ में लेते ही,Look at the phone as soon as you see it
दोस्तों पहली चीज आप नोटिस करते हो कि ये,Guys first thing you notice this
अगर मैं  अा के साथ कंपेयर करूं तो,If I shake with the comings.
लाइट वेट हो गया है एंड रीजन ओबवियसली,Light has gone through and resurgent Obviusi
टाइटेनियम फ्रेम आती है अब लेकिन कितना,Titleium Frames Now but how much
लाइट वेट हो गया है लेट्स सी आई रियली,Light has come to light
वांट टू चेक दिस आउट मुझे सीरियसली देखना,Atant to Check Out Viewing me Cerius
है मुझे भी पता नहीं है बट लाइट डेफिनेटली,I don't even know the two-fold light fracture.
है एटलीस्ट  ग्राम से लाइट है अगर मैं,That is light from the ATest gram if I have
कंपेयर करूं  अल्ट्रा के साथ तो वो,If I'm sure he's with me.
प ग्रा,W. Gray
वाओ  बट ये नोटिसेबली लाइट लगता है,This noticeable light looks like Wao-of-af.
हार्डली  ग्राम दो या  ग्राम का डिफरेंस,Hardle grams of two or three grams
है आई थिंक इसका जो वेट डिस्ट्रीब्यूशन है,There is an IV Kinkin which is deservation.
इ बेटर देन दिस ऑलराइट पोर्ट्स एंड बटंस,Etoration (Cression top ports and pins)
की तरफ देख लेते हैं बिजी है नीचे सिम,Looks at the bottom of the grid
कार्ड ट्रे है माइक्रोफोन है यब टाइप सी,The card tray is umb Type C
पोर्ट है स्पीकर ग्रिल है  पेन का स्लॉट,The port is speaker Gr's slot
है एंड एस पेन भी है उसके अंदर सो दैट इज,There's a pen inside and there's solo
देयर लेफ्ट हैंड साइड में कुछ नहीं है,Killer Lethai has nothing in the Hade side
एंटेना लाइंस दिखते हैं टाइटेनियम फ्रेम,Antennas look like a lemonium frame
के ऊपर और दोस्तों ऊपर की तरफ अगर बात,Upwards and friends up-to-date
करूं तो दो नॉइस कैंसलिंग माइक्रोफोन है,So let's have two nervouss casling trunk.
सो दो माइक्रोफोन ऊपर है वाओ एंड देन राइट,So the two trunk is up and release right.
हैंड साइड वॉल्यूम रॉकर है एंड देन पावर,The Hand Side volume is rocker and a gift power
ऑन ऑफ बटन जी या दैट्ची अच्छा बड़ा है,It's great on the button g. or g.
दोस्तों ओबवियसली अल्ट्रा फोन है बड़ा फोन,Friends are a big phone call
है ऑन द हेवियस्ट साइड डेफिनेटली है बट,On The Heaviest Side definished
अच्छा लगता है बहुत ही स्टर्डी है एंड,I think it's a lot of stuff and I've got it.
स्टर्डी क्यों है क्योंकि आपको आगे और,Why is Strey because you're on the front and on the back?
पीछे दोनों ही तरफ गोरिला ग्लास आर्मरर है,There is Goliya Glasshor on the back on both sides.
लेटेस्ट एंड ग्रेटेस्ट सो विक्टस टू का ये,This is Lesst and Grayst Sosttus Talus Tysus T.
सक्सेसर है इसीलिए गिराने वाले हैं वो भी,"That's why they're gonna pull down, too."
जरा जोर से गिराए आर्मरर,"Come on, roller removed from the core"
भाई ज्यादा ही जोर से हो गया आवाज बहुत,The brother was too loud to sound
आता है पीछे से ल,Comes back from behind
राइट नहीं नथिंग वेरी स्टर्डी मतलब आई,The right doesn't come right.
डोंट थिंक ये थोड़ा बहुत दोतीन फीट से,The Dot Think is a little less than two feet
अगर फोन गिरेगा तो ज्यादा कुछ नहीं होने,"If the phone falls, nothing is much more"
वाला है बट यस आप ध्यान रखिएगा जरूर,You're gonna take care of it.
इनफैक्ट मैं डिस्प्ले परफॉर्मेंस कैमरा,In these factory I tracked the platform camera
सबके बारे में बात करने वाला हूं बट एआई,I'm gonna talk about everyone.
इज द हाईलाइट और एआई के बारे में कुछ बात,Something About the EI
करते हैं आई एम यू नो काइंड ऑफ इंप्रेस्ड,IM No. U.S. Children's Children
विद इट लिटरली दोस्तों हर एक एरिया में,Sage italian friends every in Alaria
एआई आ गया है जी हां फॉर एग्जांपल,AI has arrived
इंटरेक्ट सर्च किसी भी ऐप पे रहिए आप या,Keep the interactive search any more than you or
फिर ब्राउजर पे रहिए आपको इंटरेक्ट सर्च,You need to search for an interactive search.
का फायदा होगा व्हाट इज इंटरेक्ट सर्च,Interactive Search
आपको टाइप नहीं करना है बात नहीं करना है,You do not have to speak to type
जो भी चीज स्क्रीन के ऊपर है दोस्तों उसे,"What's up on the screen, fellas"
सिर्फ सर्कल कीजिए अगर आपके पास अल्ट्रा,Only if you have a shower
है नॉन अल्ट्रा है तो हाथ से कीजिए एंड इट,It's non-transgressed. So do it with your hand and it's all right.
विल सर्च राइट ट देर दूसरा दोस्तों जो,Will Search Write Right Second fellas who.
मुझे सबसे ज्यादा इंप्रेसिव लगा और वो है,I got the biggest intuitive and it's.
इसका लाइव ट्रांसलेट सोचिए आप एक ला हिंदी,Think the Live Translation of It
में बात कर रहे हो कोई और तमिल में बात कर,"In Tamil, you're talking to someone else."
रहा है बट यू कैन स्पीक फ्लूएंटली टू ईच,There's a pingo U.S. sychicle to Echch
