Hindi,English
वेलकम माय डियर रॉकेट्स कैसे हैं आप सभी,They're all of you
आज हम देखने वाले हैं अननोन ओरिजन मूवी की,"We're gonna see today, Noon Orna Gov"
शुरुआत एक बिल्डिंग में आग लगने से होती,At first it would take fire in a building
है जहां पर कुछ पुलिस वाले बिल्डिंग में,There's where some cop's in the building
फंसे सभी लोगों को बचाने की कोशिश में लगे,In his attempt to save all people
होते हैं उन्हीं में से एक पुलिस वाला,There are one of them cop.
होता है जिसका नाम मैक्स था वो एक बूढ़ी,There is one whose name is Max who was an old man
महिला को उसके घर से बाहर निकालता है तब,Then the woman brings the woman out of her house
वह महिला मैक्स से विनती करती है कि मेरे,She begs the woman to me that I
पति को भी बचा लीजिए वह अंदर फंसे हुए हैं,"Save the husband, even he's trapped in"
प्लीज इसलिए मैक्स उस महिला को सुरक्षित,"Please save the woman, Max."
जगह पहुंचाने के बाद दोबारा उस घर में,Later in that house
जाता है लेकिन दुर्भाग्य से तभी घर की छत,"But with bad luck, it's the roof of the house."
टकर मैक्स के ऊपर गिर जाती है इसके बाद ये,After Tux falls down to Max's.
सीन यहीं पर कट हो जाता है पर इस हादसे से,"That's where the scene is cut off, but it's from the crash."
इतना तो साफ था कि मैक्स मारा गया होगा,So it was clear that Max would have been killed
अगले सीन में हम मैक्स के पिता जेम्स को,In the next scene we're Max's father James.
देखते हैं जो अपने दूसरे बेटे टॉम को,Let's see who his second son Tom
जगाने आए होते हैं क्योंकि व बहुत ही,Because they have come to awaken and very much.
सुस्त किस्म का इंसान है जो दिन भर बस,It's a lazy person who's just a day
सोता रहता है बड़ी मुश्किल से जेम्स ने,It's hard for James to sleep
उसे एक कॉमिक बुक की दुकान खोल कर दी थी,She had opened a comic book store
ताकि वो उसमें से थोड़ा बहुत पैसा कमा ले,To earn a little of it
अब दूसरी ओर हम डिटेक्टिव डेविड को देखते,Now on the other side we look at ablely Davide.
हैं जो जेम्स के घर पर पॉइंट हुआ है,There's been a point on James's house
क्योंकि कल ही जेम्स की रिटायरमेंट हो,Because it's James's retirement tomorrow.
चुकी है लेकिन वो अपने आखिरी केस को सॉल्व,"It's already over, but it's Solomon to his last case."
करना चाह चाहते हैं इसीलिए डेविड और जेम्स,David and James want to do that.
दोनों को एक केस पर काम करने की परमिशन दी,Both agreed to work on a case.
जाती है जिसके बाद दोनों एक बिल्डिंग के,After which both go to a building.
अंदर जाते हैं क्योंकि पड़ोसियों ने,Because neighbors go in.
शिकायत की होती है कि बिल्डिंग से अजीब,complains about the building that's strange
स्मेल आ रही है और वो स्मेल इतनी खतरनाक,Mount Carmel is coming and Carmel is so dangerous
है कि उनकी नाक में दम करके रखा हुआ है अब,That is kept in their nose and nose.
डेविड और जेम्स उस बिल्डिंग की तलाशी लेते,David and James would search for that building
हुए उसके बेसमेंट में जाते हैं तब वहां,Move to its basement then
उनको एक आदमी की बॉडी दिखाई देती है जिसको,They see the body of a mortal.
बहुत बुरी तरीके से मारा गया होता है इसी,That's how bad it's been killed
के अंदर से स्मेल भी आ रही होती है फिर,There's also Mount Carmel coming from inside.
दोनों डिटेक्टिव बॉडी को पोस्टमार्टम के,The indexive body of post-constructorum
लिए भेज देते हैं अब पोस्टमार्टम करने,Let's send you to postmmy now.
वाला डॉक्टर डेविड और जेम्स को बताता है,The patient tells David and James
कि इस इंसान को बहुत सारे स्टेरॉइड्स दिए,That this man gave a lot of dusts
गए थे और जबरदस्ती उसे बिना रोके वर्कआउट,went out and force him out without holding out
कराया जा रहा था इसी वजह से बेंच प्रेस,Because of being fired the bench press
करते हुए रॉड इसकी गर्दन में गिर गई इसी,And he fell down to his neck while he was doing (it).
की वजह से इसकी मौत हुई है तभी वहां पर,She's killed there only because of her death
डेविड की बॉस नॉर्मा कॉमिक कैरेक्टर के,David's boss Norma's comic character
कपड़े पहनकर आती है क्योंकि उसे कॉमिक,Because he's dressed in clothes because he's a comic.
बहुत ज्यादा पसंद होती है इसीलिए व आते ही,Very fond of it as soon as they come
जेम्स को इस केस से बाहर कर देती है,James puts it out of this case
क्योंकि वो रिटायर हो चुका है अब यह देखकर,Because he's retired now.
तो डेविड को भी गुस्सा आता है लेकिन वो,So David gets angry too but he is.
चाहकर भी कुछ नहीं कर पाता अब रात को,No one wants to do anything at night
डेविड के फोन पर किसी के डेड बॉडी मिलने,Meet a Ded body on David's phone
की खबर मिलती है इसलिए वह तुरंत वहां पर,"Because there's news, she's on it immediately"
पहुंच जा जाता है जहां उस बॉडी को एक,A Body Reached Where the Body Is Reached
योद्धा का आर्मरर पहना गया होता है इतना,A warrior's coherent is so much
ही नहीं उस आदमी का दिल निकालकर उसे कुछ,"And not the heart of the human being,"
टाइम के लिए किसी मशीन के जरिए जिंदा रखने,Living by a machine for time
की कोशिश की गई थी इससे साफ पता चल रहा,Clear detected by the attempt
