Hindi,English
झालावाड़ का दोस्त हाल ही में कुछ,Vegetation friend recently something
कॉमेडियन से सॉर्स को कैंसिल कर दिया गया,Sales from Austria were cascencenized
यह कहकर कि वह बड़े हिंदू फैब्रिक है उनके,"When he says he's a great Hindu Hindu family, he's theirs."
जो जोक्स है वह हिंदू धर्म का अपमान करते,The lookers dishonor the Hindu religion
हैं पहले मुनावर फारुकी फिर कुणाल कमरा और,There's a news poster's resy room and
अभी रिसेंटली कैरी मिनाती देखना है,You need to look at the breach now.
यूट्यूब पर वीडियो निकाला था उसमें कुछ एक,Some of the video delivered on YouTube
लिपटी जिसको लेकर कुछ लोग धमकियां देने,The side with which some people carry the tacklings.
लगे कैरी मिनाती को क्लीन कलेक्शन कर,Clean up the mint
देंगे क्योंकि इस क्लिप में हिंदू धर्म का,Because this clip will give the Hindu religion
अपमान किया जा रहा है आज के इस वीडियो में,Irritating in today's video
आइए दोस्तों इस हिंदू फोबिया के पीछे का,Let's go behind this Hindu fubia
सच जानते हैं क्या इन कंडीशन से बेंगलुरू,Do you know exactly what an emergency can do?
पुलिस स्वास्थ्य सुरक्षा पर ऑडिटोरियम तो,Police play on health security
कैंसल तक मेरी अनवर फ़ारूकी स्टैंड अप शो,Standing up to the Cancsle stand up to the stand-up show
इलाज धर्म हिंदू विजिलेंटे ग्रुप चीज नफरत,The treatment religion has been called the Hindu Heritage Group Hate
जीत गई आर्टिस्ट हार गया मनावर फलों के,The winning Artist Lost of Osman's Fruit
स्टैंडअप कमीडियन सुनील कामराज ओन टि्वटर,"Standing-up, Canadian Guil work On Tweerster"
फॉलो उस अट हिस फॉर्थकमिंग शो एंड,Fallo this non-proportional show and
बेंगलुरु एडमिन कैंसर रिसर्च सेंटर डेविड,Beunguur Adamin Cancer Research Center David
बैकहम  के नॉट परफॉर्म एनी,Back wet Not Ananti
ऑब्जेक्शन ओं,Optimization series
है,is
पहला शिशु है यहां पर वह लॉ एंड ऑर्डर का,The first child here is the law and order.
इंजन की एक लड़की पुलिस स्टेशन में जाकर,A girl from the engine went to the police station
कंप्लेंट करती है कहती है कि मैं ऑफिस रात,Conjunct says that I'm the office night
में जाती हूं क्योंकि मेरे ऑफिस टाइमिंग्स,I'm going to go because my office times
रात के है लेकिन जब मैं पास वाली सड़क से,But when I have the night off the nearby road
गुजरती हूं तो वहां पर कुछ लड़कियां मुझे,If I pass there some girls
छेड़ते ऐसे केस में पुलिस को क्या करना,What to do with the police in such an attack
चाहिए और इसलिए जो लड़के छेड़ रहे हैं,And that's why boys are making fun of them.
उन्हें जाकर रेस्ट कर लेना चाहिए लड़की को,The girl should go and rest.
सिक्योरिटी प्रोवाइड करनी चाहिए लेकिन,Security should provide but
मैसेज करो अगर पुलिस कहीं लड़की से कि तुम,Message if a police girl is going to let you know
रात में जाना बंद कर दो और अपने जो ऑफिस,Stop going into the night and your office
के टाइमिंग है वह बदल लो या तो ऑफिस के,It's timeing to change if you're the office's
टाइम नहीं बदले जाए तो अपनी जॉब चेंज कर,"If time isn't changed, change your job"
लो कि सिर्फ दिन में ही घर से बाहर निकलो,Just get out of the house in the day.
तो कैसा लगता है यह सुनने में लेकिन अपने,So how does it feel to hear it but your own?
इंडिया में ऐसे कई केसेज़ देखने को मिले,India has seen a number of similar sessions
दिल्ली में एक नोटिस की लड़की के साथ यौन,Sex with a notice girl in Delhi
