,Hindi,English,Hinglish,English_Part,To_Translate,Translated
0,थोड़ा सा मुझे डर लग रहा है यू नो वई ये,A little I'm afraid of UI No and I'm sorry.,A little I'm afraid of UI No and मैं माफी चाहता हूँ.,A little I'm afraid of UI No and,I'm sorry.,मैं माफी चाहता हूँ.
1,टीवी मैं ऐसा छोड़ के नहीं गया था रूम में,TV I didn't have to leave in the room,TV I didn't have to leave in the कमरा,TV I didn't have to leave in the,room,कमरा
2,ये मैं तो नहीं करके गया था मेरे रूम में,He didn't do it in my roommate,He didn't do it in my रूमी,He didn't do it in my,roommate,रूमी
3,कौन आया भाई तो डर लग रहा है बैक टू द,"Who came, really scared, back to the back?","Who came, really scared, back to the वापस?","Who came, really scared, back to the",back?,वापस?
4,ब्लॉग सुबहसुबह उठ के मैं कार्डियो कराया,Blog rose early in the morning and introduced me to the cards,Blog rose early in the morning and introduced me to the कार्ड,Blog rose early in the morning and introduced me to the,cards,कार्ड
5,था जिम चला गया था मैं  बजे उठ गया,Jim was gone I got up at noon,Jim was gone I got up at दोपहर,Jim was gone I got up at,noon,दोपहर
6,मैं सुबह उठ के सूरज देखा मैंने कहा था,"I saw the sun rising in the morning, I said","I saw the sun rising in the morning, I ने कहा","I saw the sun rising in the morning, I",said,ने कहा
7,भाई सूरज देखा करो सूरज देवता को देखा और,"See the sun, and see the sun,","See the sun, and see the सूर्य,","See the sun, and see the","sun,","सूर्य,"
8,फिर जिम चला गया मैं जिम से आके काडियो,Jim's gone I've left the video of AKo from Jim.,Jim's gone I've left the video of AKo from जिम.,Jim's gone I've left the video of AKo from,Jim.,जिम.
9,आडियो किया फिर आके थोड़ा सा अपना कामम,Idea and then a bit of your work,Idea and then a bit of your कार्य,Idea and then a bit of your,work,कार्य
10,देखा एंड देन दे केम टू माय रूम एंड देन,Look and give me a gift,Look and give me a उपहार,Look and give me a,gift,उपहार
11,वी डिड द कोल्ड थेरेपी भाई ठंडे पानी में,Vid de Colilent brother in cool water,Vid de Colilent brother in ठंडा पानी,Vid de Colilent brother in,cool water,ठंडा पानी
12,गरम फ डालने में फट ले द भाई एक मिनट तक,For a minute it bursts in hot fins.,For a minute it bursts in गर्म fins.,For a minute it bursts in,hot fins.,गर्म fins.
13,बहुत दर्द होता है फिर तो मैं अपने आप को,If there's too much pain then I myself,If there's too much pain then I myself ,If there's too much pain then I myself,,
14,कहीं इंगेज कर लेता हूं भगवान का नाम लेता,Inge I use the name of God,Inge I use the name of परमेश्‍वर,Inge I use the name of,God,परमेश्‍वर
15,हूं मतलब बहुत लेकिन सुन आता गलब सो नाउ,I mean a lot but a hypnot sono,I mean a lot but a द्वैधाइनोन,I mean a lot but a,hypnot sono,द्वैधाइनोन
16,वी आर डूइंग ब्रेकफास्ट जब मैं यहां पे,We're on our way here when I get here.,We're on our way here when I यहाँ आओ.,We're on our way here when I,get here.,यहाँ आओ.
17,हूं मुझे वही खाना है जो ये लोग दे रहे,I have only the food which they eat.,I have only the food which they खाओ.,I have only the food which they,eat.,खाओ.
18,हैं दे आर गिविंग मी बेरीज ये ग्रीन जाइंट,Ring de Ringh Bervige - Green to the Green Intint,Ring de Ringh Bervige - Green to the हरा इनफिनिट,Ring de Ringh Bervige - Green to the,Green Intint,हरा इनफिनिट
19,ग्रीन जूस है जिसमें कि बोलते हैं कि भाई,"Green Jess, in which the brothers say that","Green Jess, in which the brothers say that ","Green Jess, in which the brothers say that",,
20,सब्जियों का राजा होता ही है और ये गोको,"As for the king of the host, it is Gocoh.","As for the king of the host, it is गोको.","As for the king of the host, it is",Gocoh.,गोको.
21,मोली इसके बाद मुझे खाने को दिया गया है,I've been given to eat after this,I've been given to eat after this ,I've been given to eat after this,,
22,लेटल डोसा एंड एक कॉफी मैंने मंगा ली मुझे,Letat Dons and a coffee I got.,Letat Dons and a coffee I मिल गया.,Letat Dons and a coffee I,got.,मिल गया.
23,दी नहीं गई थी मैंने मंगा ली मैंने कहा,I didn't get asked if I told you,I didn't get asked if I told you ,I didn't get asked if I told you,,
24,भाई ये दे दो प्लीज ए फ्यू मोमेंट्स लेटर,Brother Give it to you please AFFF Mottors,Brother Give it to you कृपया AFFFMOrer,Brother Give it to you,please AFFF Mottors,कृपया AFFFMOrer
25,वी आर बैक फॉर डे नंबर टू एट आईब सेंटर,V Back for A Day Number To An Ib Center,V Back for A Day Number To An आईबी केंद्र,V Back for A Day Number To An,Ib Center,आईबी केंद्र
26,एंड टुडे वी आर स्टार्टिंग विद योगा वी,And today V R Starting Texting V.,And वी. वी.,And,today V R Starting Texting V.,वी. वी.
27,विल बी यूजिंग थ्री टेक्नोलॉजीज हाई फम आर,Will Bjing Three Technicology High R.,Will तीन टेकनीलॉज़ी उच्च आर.,Will,Bjing Three Technicology High R.,तीन टेकनीलॉज़ी उच्च आर.
28,एफ एंड ईम एस इट विल स्ट्रेंथ एन योर कोर,F and Im S. It's Wilthen Ner,F and Im S. It's विल्नन नेन,F and Im S. It's,Wilthen Ner,विल्नन नेन
29,मसल्स ओके टू रिड्यूस योर लाइक विसरल,issues okay to Randaus Yurberger Wit lighten,issues okay to रैंड ब्लॉर्जर विट बिजली,issues okay to,Randaus Yurberger Wit lighten,रैंड ब्लॉर्जर विट बिजली
30,फैट स्टार्ट करने आ रहे योगा एंड सर,The success and sir is coming to Start.,The success and sir is coming to प्रारंभ.,The success and sir is coming to,Start.,प्रारंभ.
31,कराएंगे,We'll make it.,We'll make it. ,We'll make it.,,
32,गा स्लश स्ट्रेचिंग इज डन थैंक यू सो मच,Gash Slush Extensive Praise U.S.A.,Gash Slush Extensive Praise U.S.A. ,Gash Slush Extensive Praise U.S.A.,,
33,सर ही हैज डन एन अमेजिंग जॉब ऑन माय बॉडी,Sir Haz Dun en Aming Work on the Family Body,Sir Haz Dun en Aming Work on the परिवार,Sir Haz Dun en Aming Work on the,Family Body,परिवार
34,मतलब एक एक पू जक होल लिया ओके नाउ वी आर,I mean a Pute-Enel took the OK Naau Via Via,I mean a Pute-Enel took the ठीक है नाउउ द्वारा,I mean a Pute-Enel took the,OK Naau Via Via,ठीक है नाउउ द्वारा
35,डूइंग द स्कल्प मशीन दिस मशीन विल सिमुले,Dora de S. S. R. L. R. L. L.B. machine,Dora de S. S. R. L. R. L. L.B. machine ,Dora de S. S. R. L. R. L. L.B. machine,,
36,द म इट विल स्टीमुलेट योर एब्डोमिनल मसल्स,The MITITIE Will Steamumumumumumumum issues,The MITITIE Will दिमममममम प्रकारम अंक,The MITITIE Will,Steamumumumumumumum issues,दिमममममम प्रकारम अंक
37,इट्स इक्वल टू  सिट अपस रियली या सो,Italian Equisitic Tourism or Soar,Italian Equisitic Tourism or सोर,Italian Equisitic Tourism or,Soar,सोर
38,नो नीड टू गो टू जिम विल ग या इट विल गिव,Noied to Go to Jim Willy G or It Willva,Noied to Go to Jim Willy G or It विलवा,Noied to Go to Jim Willy G or It,Willva,विलवा
39,लॉन्ग बैक आई हैव रेड वन स्टडी ओके दैट,Long Back Ive Red Forest Study OK,Long Back Ive Red Forest Study OK ,Long Back Ive Red Forest Study OK,,
40,इलेक्ट्रिकल इंपल्स कैन आल्सो,Electric Integration Cain Atheo,Electric Integration Cain Atheo ,Electric Integration Cain Atheo,,
41,स्टिमुलेटिंग योर स्किन ओके सो इट्स,Stimulting Yer's OK Sols,Stimulting Yer's OK Sols ,Stimulting Yer's OK Sols,,
42,हैविंग थ्री टेक्नोलॉजीज यू शुड,Hypnotic High Technicy,Hypnotic High Technicy ,Hypnotic High Technicy,,
43,संगीत,Music,Music ,Music,,
44,लाडन सो दिस इज माय नेक्स्ट एक्सरसाइज,Laden SoB,Laden SoB ,Laden SoB,,
45,मेरे टांग इन्होंने टांग दिए ये जो आपको,Give my legs to that which you have.,Give my legs to that which you है.,Give my legs to that which you,have.,है.
46,दिख रहा है ये डंडा निकला हुआ पहले ये ऊपर,You see this stick up before it gets through.,You see this stick up before it के माध्यम से हो जाता है.,You see this stick up before it,gets through.,के माध्यम से हो जाता है.
47,था तो अभी नीचे कर दिया फिर आई थिंक अभी,It was just down then Idin's right now,It was just down then Idin's right now ,It was just down then Idin's right now,,
48,फिर नीचे करेंगे ऐसे करते करते पूरा नीचे,Then we'll do it down there.,Then we'll do it down वहाँ.,Then we'll do it down,there.,वहाँ.
49,जाएगा दिस इज कॉल्ड द एर्गन टावर अभी सुबह,It will be calling the FECH (Ergon Tower right now in the morning),It will be calling the FECH (Ergon Tower right now in the सुबह,It will be calling the FECH (Ergon Tower right now in the,morning),सुबह
50,से स्ट्रेचेज कर थे उसम फा दी दो बार,Turned that hair off twice,Turned that hair off दो बार,Turned that hair off,twice,दो बार
51,स्ट्रेचिंग करा द इज वेरी इजी बट कह रहे,Bounce the EGUGE VAGEY OF THE EVAGEGEY,Bounce the EGUGE VAGEY OF THE ई. वी.,Bounce the EGUGE VAGEY OF THE,EVAGEGEY,ई. वी.
52,हैं कि इससे फायदा होगा दिख नहीं रहा कि,He doesn't see that it will benefit.,He doesn't see that it will लाभ.,He doesn't see that it will,benefit.,लाभ.
53,होगा क्योंकि बहुत इजी लग रहा है कंपेयर,"Because there's been too old to be checked, checker.","Because there's been too old to be चेक किया गया, चेकर.",Because there's been too old to be,"checked, checker.","चेक किया गया, चेकर."
54,टू व्हाट वी हैव डन इन द मॉर्निंग कुछ,To Whaat VHEN IN THE morning something,To Whaat VHEN IN THE सुबह कुछ,To Whaat VHEN IN THE,morning something,सुबह कुछ
55,नहीं मतलब जैसे आप बस बिस्तर प लेटे पैर,I don't mean you just sleep on bed.,I don't mean you just sleep on बिस्तर.,I don't mean you just sleep on,bed.,बिस्तर.
56,ऊपर करके लेटे हुए मजे कर रहे हैं देखो,"Look, they're having fun sleeping on top.","Look, they're having fun sleeping on ऊपर.","Look, they're having fun sleeping on",top.,ऊपर.
57,मतलब जिंदगी हो तो ऐसे हो प्री लंच सेशन,Meaning life if there's a pre-empanation,Meaning life if there's a प्री- डिज़ाइन,Meaning life if there's a,pre-empanation,प्री- डिज़ाइन
58,ऑफ डे नंबर टू इज कंप्लीट अभी होटल जा रहे,Go to the hotel right now,Go to the hotel right now ,Go to the hotel right now,,
59,हैं तो होटल और सेंटर बहुत प्रेस होटल और,So there are a lot of press hotels and hotels.,So there are a lot of press hotels and होटल.,So there are a lot of press hotels and,hotels.,होटल.
60,सेंटर पीछे सो वी कीप वकिंग स्टेप्स भी,Even vcaping steps behind the center,Even vcaping steps behind the केंद्रित,Even vcaping steps behind the,center,केंद्रित
61,पूरे आते दिन के हमारे लंच टाइम आज बहुत,Our lunch time for the whole day is very much,Our lunch time for the whole day is very बहुत,Our lunch time for the whole day is very,much,बहुत
62,ज्यादा लंच बनाया मैं वैरायटी बहुत ज्यादा,I made more lunch,I made more दोपहर का भोजन,I made more,lunch,दोपहर का भोजन
63,है आज क्या बात है पार्टी है क्या यहां पे,What's the party here today?,What's the party here आज?,What's the party here,today?,आज?
64,सामने निश्चय अभी इसने दो इंजेक्शन लगवाए,"In front of him, he must take two injections.","In front of him, he दो इंजेक्शन लेना चाहिए.","In front of him, he",must take two injections.,दो इंजेक्शन लेना चाहिए.
65,कंटेंट के इसको कंटेंट नहीं आ रहा था,The amount of the agreement wasn't coming.,The amount of the agreement wasn't आ रहा है।,The amount of the agreement wasn't,coming.,आ रहा है।
66,दिमाग में कहता इंजेक्शन लगाओ कंटेंट वाला,Hit the injection in the brain,Hit the injection in the मस्तिष्क,Hit the injection in the,brain,मस्तिष्क
67,अच्छा कंटेंट आए दिमाग में अच्छे वीडियो,Good Video on Good Contamination,Good Video on खुशी - खुशी,Good Video on,Good Contamination,खुशी - खुशी
68,बनाऊ मैं निश्चय आल्सो हियर यार मेरे को,I'm sure Altossioli to me.,I'm sure Altossioli to मुझे.,I'm sure Altossioli to,me.,मुझे.
69,रिकॉर्ड भी कि इंजेक्शन लग नहीं वो नहीं,Not even a record that won't get injections,Not even a record that won't इन्जेक्शन्स,Not even a record that won't,get injections,इन्जेक्शन्स
70,किया वो नहीं किया भाई वो नहीं किया नहीं,He didn't do it. He didn't do it.,He didn't do it. He didn't do यह.,He didn't do it. He didn't do,it.,यह.
71,वो नहीं किया मैं खाना खा रहा जैसे ही ऊपर,He didn't eat as soon as I did.,He didn't eat as soon as I किया.,He didn't eat as soon as I,did.,किया.
72,देखा मूड खराब कर दिया सबसे घटिया काम ज,Look after mood corrupted the worst job.,Look after mood corrupted the सबसे बुरी नौकरी.,Look after mood corrupted the,worst job.,सबसे बुरी नौकरी.
73,आपकी चाबी ना चले,Your keys did not go away.,Your keys did not चले जाओ.,Your keys did not,go away.,चले जाओ.
74,नी गुस्सा अभी हमें निकलना है बाकी टेस्ट,The rest test we have to get out of anger now,The rest test we have to get out of anger now ,The rest test we have to get out of anger now,,
75,के लिए ईजीसीजी करानी है आधे घंटे का टाइम,It's half an hour's time for that.,It's half an hour's time for कि.,It's half an hour's time for,that.,कि.
76,दिया था ब्लॉग अपलोड नहीं किया आज दो दिन,The blog wasn't uploaded today two days,The blog wasn't आज अपलोड हो रहा है,The blog wasn't,uploaded today two days,आज अपलोड हो रहा है
77,से तो आफ्टर लंच पार्ट टू ऑफ अ डे वी आर,You're going to have a lunch part of the home of A. R. R.,You're going to have a lunch part of the home of आर.,You're going to have a lunch part of the home of,A. R. R.,आर.
78,बैक टू डू सम टेस्टिंग एक्सरे एक्सरे सीटी,Back to do D-Bus Testing Xreber CT,Back to do D- बस जाँच Xarber CT,Back to do,D-Bus Testing Xreber CT,D- बस जाँच Xarber CT
79,स्कैन अल्ट्रा साउंड एवरीथिंग तो लास्ट,Scansome sound epositing then Last,Scansome sound epositing then अंतिम,Scansome sound epositing then,Last,अंतिम
80,टाम मैंने सारा किया था बिकॉज मेडिकल था,"Tam I did, and I was a medical doctor","Tam I did, and I was a डॉक्टर","Tam I did, and I was a",medical doctor,डॉक्टर
81,मेरा पायलट वाला आई वांटेड टू रिन्यू माय,My pilot's iddling TOTO,My पायलट के आईडी TTO,My,pilot's iddling TOTO,पायलट के आईडी TTO
82,लाइसेंस जो कि इवेंचर हुआ नहीं आई थॉट आई,The license that was not found,The license that was not मिला,The license that was not,found,मिला
83,विल शेयर दैट स्टोरी वंस आई हो जाएगा पूरा,Will share millasses will be complete,Will share millasses will be पूर्ण,Will share millasses will be,complete,पूर्ण
84,बट वो हुआ ही नहीं और उसकी लंबी स्टोरी है,"Not equal is she, and hers is a long store.","Not equal is she, and hers is a लंबी दुकान.","Not equal is she, and hers is a",long store.,लंबी दुकान.
85,बट टुडे वी आर डूइंग दैट अगेन लास्ट यर सब,ROTOLOV ROOD ABEGE ARBERER,ROTOLOV ROOD ABEGE ARBERER ,ROTOLOV ROOD ABEGE ARBERER,,
86,कुछ नॉर्मल था इस यर देखते हैं कैसा रहेगा,See how some normal ones look at this secret.,See how some normal ones look at this गुप्त.,See how some normal ones look at this,secret.,गुप्त.
87,र डूइंग दिस सीटी स्कैम सब हो चुका है ये,This has been the result of the D-Bus call scisssing.,This has been the result of the डी- बस काल कैंसिंग.,This has been the result of the,D-Bus call scisssing.,डी- बस काल कैंसिंग.
88,बच्चा है और अल्ट्रा साउंड बचा ढाई लीटर,He's a baby and has two or five baths,He's a baby and has two or पांच स्नान,He's a baby and has two or,five baths,पांच स्नान
89,पानी पी चुके अभी ये बचा हुआ है और प्रेशर,Water has just saved it and pressure,Water has just saved it and दबाव,Water has just saved it and,pressure,दबाव
90,आ गया आ गया आ गया ओ मां कसम लाइडर में,I'm here! I swear to my mother.,I'm here! I swear to my माँ.,I'm here! I swear to my,mother.,माँ.
91,प्रेशर आ गया चलो मैशाल को बुलाते हैं सो,The pressure is coming so let's call Kolel.,The pressure is coming so कोल कॉल करते हैं.,The pressure is coming so,let's call Kolel.,कोल कॉल करते हैं.
92,अल्ट्रा साउंड तभी करते जब बड पूरा भरा,With audio sound only when full,With audio sound only when पूरा,With audio sound only when,full,पूरा
93,हुआ होता है भर चुका भयंकर तरीके से अब जब,Now when it's filled with awfulness,Now when it's filled with भयंकरता,Now when it's filled with,awfulness,भयंकरता
94,वरूम जाऊगा ना तो आधा घंटा लगा ल टेस्ट न,I'll go to bed for half an hour without test,I'll go to bed for half an जाँच किए बगैर घंटा,I'll go to bed for half an,hour without test,जाँच किए बगैर घंटा
95,वी आर गोइंग बैक थंक य सोचो बक टेस्ट की,Think of the screenshot screen,Think of the स्क्रीनशॉट स्क्रीन,Think of the,screenshot screen,स्क्रीनशॉट स्क्रीन
96,रिपोर्ट भी आ गई थोड़ी एक बची,There was also a few remaining reports,There was also a few शेष रिपोर्ट,There was also a few,remaining reports,शेष रिपोर्ट
97,है स्पेशल मशीन ू स्ट्रेंथ द बैक इसके लिए,This is special machine Baucth de Back for,This is special machine Baucth de Back for ,This is special machine Baucth de Back for,,
98,आया म मल्टी फरस,Mbarustra came,Mbarustra came ,Mbarustra came,,
99,संगीत,Music,Music ,Music,,
100,मल्स शवा स जस्ट वेरी गुड डिस्कशन विद हिम,Malts Body Charst Weavery Good Disk Spravation Snow,Malts Body Charst Weavery Good Disk Spravation Snow ,Malts Body Charst Weavery Good Disk Spravation Snow,,
101,ही टोल्ड मी अ लॉट ऑफ थिंग्स अबाउट माय,Sold Mie A Loot of the Things May,Sold Mie A Loot of the स्थिति मई,Sold Mie A Loot of the,Things May,स्थिति मई
