Hindi,English
ऑलराइट दोस्तों  ने और एक फोन लॉन्च कर,All right friends launching a phone
दिया है   जी हां  की जो लिगसी है वो,"We've given it. Yes, that's Ligsy."
कैरी फॉरवर्ड करता है ये मुझे लगता है इस,This is what I think it is
प्राइस रेंज में मुझे लगता नहीं है है इस,This isn't what I think
प्राइस रेंज में सबसे पावरफुल स्मार्टफोन,The poweriest smart key in the model range
होगा इसकी जो प्राइस है बेसिकली  जो,It will have the root of what it contains.
वेरिएंट है दैट इज विथ ऑफर  है,They've been in contact with the Edict of Greece.
एंड  जो है शायद मेरे हिसाब से,And that's probably my idea.
वगैरह होगा ये मैं गेस कर रहा हूं,That's what I'm thinking about.
क्योंकि जब अनबॉक्सिंग कर रहा हूं मुझे,Because when I'm unboxing me
इसकी प्राइस पता नहीं है बट बहुत सारी ऐसी,Its content doesn't know how many of it is.
चीजें हैं इसमें जो सीरियसली अच्छी है,There are things that are good in secret
स्पेशली परफॉर्म परमस एंड वैल्यू फॉर मनी,Special onto platforms are Thomas and Welly Ford
कोश इस फोन का बहुत ही ऊपर है जैसे हमेशा,Kolash is on the top of this phone as always
हर एक आइक फोन का होता है सो लेट्स ओपन द,Each of them contains an elk phone sots open The New York Times.
बॉक्स देखते हैं आइक  लिखा हुआ है नाइन,The box doesn't see the elk written
नहीं लिखा हुआ है ब्लैक बॉक्स है सिल्वर,The Black Box is not written
लेटरिंग है वैसे दोस्तों सब्सक्राइब डू,Friends are running down as they were in the middle of the day.
सब्सक्राइब बहुत सारे जबरदस्त फ्स आ रहे,Too many Serbs coming
हैं उनके अनबॉक्सिंग फर्स्ट इंप्रेशन,There are an enclosing event
रिव्यू सब कुछ करने वाले सो डू दैट लेट्स,Reviewing everything you do
ओपन ओपन तो कर दिया है,Open has been opened
व ओ ओके ओके ओके केस आथ ही है नाइस डिसेंट,OK OK OK it's not until it's too late.
क्वालिटी केस है डॉक्यूमेंटेशन  वाट,Quality case:
फैस्ट फ्लैश चार्जर और इधर दिख रहा है जी,Fasculating flasher and looking around the G.
हां,Yes.
वा का एंड देन यू हैव,And the rest of the gift U.S.A.
टाइप सी चार्जिंग केबल एंड यू आल्सो,Typeing cable and U.S. Also
हैव ये हमल सिम कार्ड टूल जो हमें लगने,He's the geograph card tool that we think we're going to have.
वाला है इसीलिए हम इसे निकाल के हमारे साथ,That's why we remove it with us
रखते हैं एंड लेट्स कीप एवरीथिंग एल्स,Let's keep and put the rest of the Letts up Aorbing L.
असाइट हाथ में लेते ही मुझे वाओ क्यों ल,"If you want me to cry in your ass, I'm going to find out.."
हल्का लग रहा है  म एंपर की बैटरी है,There's a light feeling on an ant's battery.
बट यू नो इट्स लाइट,Piaf Utilis Light
वेट ओ हो हो हो हो ये वेवी डिजाइन देखिए,There's gotta be not if we look at the WeV design.
लुक एट दिस डिजाइन लुक्स वेरी डिफरेंट एंड,Look at the Dec Design Looks Weaver and Fake
लाइट ग्रीन कलर है लाइट गिरने के बाद,Light green color is after a light fall
शाइनी शिमरी दिखता है और कैमरा मॉड्यूल,It looks like a hypothetory and camera module
स्क्वारिश है दो राउंड सर्कुलर कैमरा के,The Square is two rounds of a circle camera
मॉडल्स है सो ट्स इट एंड इन हैंड फील,Models are Sots It and Indgets
जबरदस्त है ड्रैगन ट्रेल का प्रोटेक्शन,The projection of the dragon tray is ready.
आता है ग्रीन गार्ड है लेट्स डू दिस आवाज,Comes Green Guard. Letts do DAD sound
आना चाहिए यस ओ नाइस ना नाइस वेरी नाइस,Ana must have Yas Ori Nairi Nairi
ड्रैगन ट्रेल प्रोटेक्शन लेट्स टेस्ट वन,Dragon Trell Proteins Test forest
टू,To
एंड वैसे मैं एक्सपेक्ट नहीं करता हूं बट,I don't expand as well as the two.
बट कुछ नहीं वन टू एंड पीछे की बैक है,Nothing else's back in the forest and behind.
प्लास्टिक है बट यू नो फील्स नाइस फील्स,Pinx is hypnot--no gals No Rings
रियली नाइस फ्लैट साइड्स वगैरह अगर वेट के,Real flat side of it if they dot.
बारे में बात करूं न,Don't talk about it.
ग्रा  या  बोल रहा था मैं  सो,Appreciative or speaking I slept
आई एम वेरी नियर ये कितने बार होता है अभी,How many times this occurs right now
फिर से किया मैंने दोस्तों गलती से,Again I made friends mistake.
माइक्रोफोन के स्लॉट में मैंने डाल दिया,I put it in the trunk slot
दिस इज दिस इज अ थिंग यू नो ओ हाइब्रिड,DB Expend IV Expensive U No OBRD
