Hindi,English
ये हैं पुरे सौ मिलियन डॉलर्स का,These are the glaciers of one hundred million dollars.
वाले एक आर्ट हाउस में रह कर,Stay in an Artful House
जो बना हैं एक असली वाली सुनामी,A real tsunami.
ये पूरी तरह पानी में ढह जाएगा।,It will completely collapse in the water.
तो एक डॉलर लेकर,So with a dollar
कितने प्यार से रह रही हैं।,How lovingly we're staying.
हमारे पास एक रिक्लाइनर एक गद्दा,We've got a Rickliner.
दो डॉलर्स दूंगा तो वापस लोगे,I'll give two dollars so you'll be back
नहीं,No
एक मिलियन डॉलर्स वाले घर में,A million dollars at home
और इसका मतलब हैं इसे खरीदने के लिए,And that means buying it.
जो बाथरूम की ओर जाता हैं,Go to the bathroom.
जो एक डॉलर्स वाले घर से भी बड़ा हैं।,Which's bigger than a dollar's house.
बाथटब विशाल है।,The Battbe is huge.
मैं छह फुट पांच साल का हूं और मैं,I'm six feet five and I'm five.
यहाँ एक आर्केड भी हैं।,There are also an arcade.
सोचा नही था की इतना कुछ मिल सकते हैं,Didn't expect so much.
शानदार घर देखने निकले हैं।,We're out to see the beautiful house.
इसी लिए अब आगे हैं एक पुरे  मिलियन,That's why there's now a man of millions.
मिलियन डॉलर का घर।,Millions of dollars home.
रुको तुमने इसे धक्का दिया,Wait you pushed it.
अरे बाप रे।,"Oh, shit."
इसे देखो जरा,Look at this.
ये मेरे लिए तो नहीं हैं।,These are not for me.
ये ऐसा हैं जैसे हम  में किसी,They're like one of us.
वह व्यक्ति जो इस घर का मालिक है,"- he who is the master of this house,"
आपको क्या लगता है,What You Think
मेरे घर पर आने के लिए धन्यवाद।,Thank you for coming to my house.
आपने मुझे परम उपहार दिया है।,You gave me the best gift.
मेरे बच्चो को ये जान कर बहोत ख़ुशी होगी।,My kids will know this and enjoy it.
इसके अलावा कृपया कोई भी सैंडविच न खाएं।,Also please don't eat any sandwich.
वो मुझे बहोत प्यारे हैं,He's sweet to me.
और उनकी रेसिपी पीढ़ीयो से,And their recipes from generation to generation.
एरिया और एक बार जहाँ पर उन्होंने,Aria and Once Where They Go
बहोत सारा खाना रखा हैं।,We've kept all the food.
दोस्तों इस से पहले की आप कुछ खाओ।,Guys before this you eat something.
बैकग्राउंड में तैर रहा हैं।,The background is swimming in the ground.
उसे पता नहीं हमने शूट करना,We don't know him. We're gonna shoot him.
अच्छी वाली लिविंग रूम हैं।,Good room.
ये बहोत बड़ी हैं।,These miles are big.
यह क्या है,What is it?
किया,Done
मैं यह किताब पढ़ने जा रहा हूं।,I'm going to read this book.
लिविंग रूम के ऑफिस के ठीक बाद थी,The room was just right after the office
एक बड़ी सी किचन,A big cell kitchen
विदेशी कारों से भरा गैराज है।,The foreign cars are full of cars.
यह किसी वीडियो गेम के गैराज जैसा दिखता है।,It looks like a video game bag.
उन्होंने यहाँ लेम्बोर्गिनी के ऊपर,He's up to the Lebini here.
से भी ज्यादा कार्स हैं।,There's more farmers.
क्या बात हैं,What's the matter?
ठीक हैं ये तो पक्का हैं की एक कार,"Well, they're sure a car"
देखते हैं ये कहा जाती हैं,Let's see how it's said
ब्रो ये कार्स से भरा हुवा क्लोसेट हैं।,Broy this is Huve Claret full of Kers.
उस कार गराज के ठीक निचे,Right down to that carship
वहां लाइट का स्विच नहीं था।,There wasn't a light switch.
मैंने सोचा की उन्होंने,I thought they were
टेनिस कोर्ट बनाए तो बहोत ही बढ़िया रहेगा।,It's a good thing to establish a court.
और आप सब को याद दिलादु की हम,And remind you all of us.
आर्केड से बीस गुना ज्यादा बड़ा हैं।,The Ark is twenty times bigger than that.
पर बस इतना ही नहीं,That's not that much.
भाई इस जगह पर सचमुच सब कुछ है।,The brother is really everything in this place.
ठीक है मैं कभी नहीं जाऊँगा।,Okay I'll never go.
हम एक घर में बास्केटबॉल कोर्ट में,We're at a ballball court in a home.
ये इस जगह का बेस्ट पार्ट हैं।,They're the Best part of this place.
जो हम असल में देखना चाहते हैं,What We Really Want to See
एक साथ स्लाइड से नीचे जाने वाले हैं।,We're gonna go down the slide together.
हम वाटरपार्क के मजे लेते हैं,We enjoy the waterplace.
आप से अगले घर में मिलते हैं।,See you at the next home.
बस बुरी खबर ये हैं वो फिर,Just bad news that's it again.
