Hindi,English
झाल हिंदी अरिजीत कि अ,ZALILA KAILA
कर दो,Do it.
एक फोन लगाओ,Phone One
प्रशंसा,Praise
कि पेशेवर चावला और किसी दिन उतना छोटे,That professional rice and some day so small
अचूक लैह बरस बरस जाओ ना यार,"Make it hard years, mate."
हुआ था पाठ प्रतिदिन उन छोटे चाचा को,Text was read daily to those little uncle
ख्याल घृणा जाओ ना तो,Don't take care to hate you
अपने परिश्रम श्याम न और इसी दिन उठाना झट,"Do not be distracted by your toil, or hasten on the day of resurrection."
चिकेन घृणा न,The Chikne Hate No
कुछ देर इस वर्ष या न और इसी दिन उन्हें,"For a little while, or for a while, and that Day they will be exposed."
छोटे चिकपाल घृणा जाओ ना तो,Get little chicopio hated or not
अजय को,To Azar
कर दो,Do it.
यह पूरी अच्छी तरह जुड़ा और तीन दिन ना,It is perfectly connected and not three days
करे दोस्त उद्देश्य है पर,It's a friend on purpose.
झाला आहे,Zela Ohe
हुआ है,has occurred
एक बच्चा उम्मीद है कि आपको वीडियो प्रणाम,A child expects you to worship video
जिसके लिए उस करो घ्र मे,Let him do it.
