Hindi,English
दोस्तों ये ऐसा एक प्रोडक्ट है जो दिन,It's a projector that's a day..
वीडियो हमने किया हुए हैं इस चैनल के,Video we've done this channel
ऊपर अलगअलग डिवाइसेज देखें हुए बट ऐसा,Look at different devices on the top of the screen.
डिवाइस हमने कभी भी इनबॉक्स नहीं किया है,The device we have never sent inbox
आपके सामने जी हां ये है बोर्ड का स्मार्ट,"Yes, it's smart in front of you."
रिंग फर्स्ट जेनरेशन जैन वन और बेसिकली,Ringingive Generation Jain forest and Basic
आपका जो स्मार्ट वॉच करता है सभी कुछ नरली,All the male or female you have
सब कुछ स्मार्ट ड्रिंक करता है यू कैन,All the smart drinks from the U.S.
वेरी आईटी इन योर फिंगर क्रेज़ी तो सो बोट,Harry IT Yinger Finger Krezi Solberg
ये लेक ए गया है और ये अब सेल पे चला गया,"It's been Lake A, and it's gone to Sel."
है अभी जब हम अनबॉक्सिंग कर रहे हैं,Right now when we're unboxing
दोस्तों मुझे इसकी प्राइस पता नहीं है बट,"Guys, I don't know its payout."
कहां जा रहे हैं की इस गोइंग तू बी अंदर,Where you go in.
तो उसे हिसाब से हम देखने वाले हैं,We will surely see him by his reckoning.
अलराइट लेट ओपन ओबवियसली छोटा सा बॉक्स है,The al-right lies the open Obvili box is a small box
दोस्तों जस्ट रिंग सबसे पहले,Friends Rings First
डॉक्यूमेंटेशन है अलराइट और दें सम स्टीकर,Theization is Alright and give the multiples.
बहुत हार्ड ओके,Very hard OK
ये देखिए दिस इसे डी डिवाइस,See the Dec This D device
इसके बड़े में बात करेंगे वो चार्जिंग पॉड,They're going to talk about it. They're blaming you.
है यह बेसिकली चार्जिंग पॉड है मैग्नेटिक,"This is basic $8, pi. critique"
चार्जिंग पर ये देखें कुछ नई चीज दिखे रही,See some new things appearing on chargeing
है सो नाइस और कुछ नहीं है बॉक्स के अंदर,So there's nothing else inside the box
यही है सो लेट कप दिस साइड चार्जर को साइड,"That's so late, the side-sider side-back."
में रखते हैं वैसे ये जो साइज है,In which they keep as it is.
आपका जो फिंगर साइज है उसे हिसाब से लीजिए,Take account of what yourizes are
बिकॉज़ डेट इस वेरी इंपॉर्टेंट आपकी जो,The sold-only date which is yours.
उंगली की साइज है वो चेक कीजिए उसके बाद,That's the size of the finger. Check it after
में इसे ऑर्डर कीजिएगा ओके आई कैन वेरी,It's okay to order it in. It's okay.
आईटी इस मी हब वैसे आप किसी भी फिंगर में,ITMUBH YOU IN NO FINGER
इसे दाल सकते हो सो डेट इस नोट एन,So date this note can smell it
प्रॉब्लम बट रिकमेंड करता है की आपकी जो,Probum makes you understand who yours are.
रिंग है वो इंडेक्स फिंगर में है ये जो,That's the index finger.
फिंगर है अगर आप उसे करोगे इंडेक्स फिंगर,Finger if you're gonna do him Index Finger
में तो ज्यादा एक्यूरेट रीडिंग्स आएगी,I'm going to have a lot of antty readings..
वैसे तीन साइज आते हैं इसमें   और  तो,So come three times in it and then
और उनकी साइजिंग किट भी आता है वो साइज के,And their size is also coming to myizer.
मामले में याद रखिए यू हैव तू गेट डी राइट,Remember the case in U.S.A.
साइज सो वन थिंक इसे पर सर आईटी लक्स,Size Sogn Thinn at It Sir IT Lex
प्रीमियम क्योंकि ऊपर से सिरामिक है और,Premium because above is technology and is premium
अंदर से आई थिंक इट्स मेटल स्टील है ये,It's an old steel steel steel from inside
वेट वैसे ज्यादा नहीं है बट पर एन रिंग आई,They don't have enough contact with the eye.
डोंट थिंक आईटी बिल बी मोर दें  ग्राम्स,Dont Thinn IT BON BOT GILS · Global Voices
लेट सी लेट सी आई कांत लेट कहता हूं,I call late late late C. I'm late
बिटवीन  और  ग्राम्स लेट को अंदर,Biton and grams fast in.
ग्राम्स डेट इस गुड और अगर छोटा साइज आप,grams date this good and if you smallize
लोग तो शायद थोड़ी और लाइट होगी सो,It may be that some people will be able to shed light on the path to life.
ग्राम्स इट्स ओके इट्स क्यूट ठीक एक्चुअली,Grams □ OK Qat Eclipse · Global Voices
मतलब जनरल अपनी गोल्ड रिंग्स वगैरा होते,I mean general would have his Gold Rings · Global Voices
हैं वो पतले होते हैं दिस इस ऑन डी टिकर,They are thin. On the day they are a D-Ker.
सेट ऑब्वीजली अंदर बहुत साड़ी सेंसर वगैरा,Set Obwenly Instrumental great sensors
हैं सो जो वेरी इंटरेस्टिंग डिवाइस वॉच अब,"So it is now the Watch Tower Bible and Tract Society of New York, Inc."
ये करता क्याक्या है डेट इस वेरी,What's that doing?
इंपॉर्टेंट इसके ऊपर कोई डिस्प्ले नहीं है,This is not a display.
कुछ भी नहीं है या फिर जस्ट वेयर डेरिंग,If nothing is anything or then the flicker's panicing
डेट्स आईटी जो भी कुछ आपको दिखता है जो,The dates IT's what you see.
डाटा ये कलेक्ट करता है बेसिकली आपके अप,Prints this data to you
के ऊपर दिखता है और क्याक्या डाटा कनेक्ट,Looks up and what data connects
करता है बेसिकली स्लीप मॉनिटर करता है,Monitors basic sleep
आपका जी हां आपकी बॉडी रिकवरी कितनी हुई,What happened to your brain to your body?
है नींद होने के बाद बॉडी रिकवरी कितनी,How Body Respiration Is After Sleep
हुई है कितनी एनर्जी है आपने वो आपको,It's so wonderful that you've got it.
दिखता है टेंपरेचर सेंसर है इसके अंदर तो,Looks like the sensor sensor in there's a sensor sensor.
आपका जो टेंपरेचर है,Which is your assistant
सेंसर है इसका मतलब ब्लू ऑक्सीजन,The sensor means blue oxygen
लेवल जो है वो आपके वो मॉनिटर करता है,The level you have is the monitor.
इसमें तीन एक्टिविटी मोड्स भी है जो वो,It also contains three antivity modes that she does.
मॉनिटर करता है वॉकिंग साइकिलिंग और रनिंग,Monitors Wing Binging and running
याद रखिए ये फर्स्ट जेन का प्रोडक्ट है,"Remember, it's the procreator of the guruses."
फर्स्ट जेनरेशन का प्रोडक्ट है जैसेजैसे,"Proposition is the Propositor of the generation generation, e.g."
अगले नेक्स्ट जेनरेशन के आते जाएंगे और भी,The next necesssecration will come even more.
फीचर्स एड होते जाएंगे अब इसके ऊपर,A feature will be a module and will now be built up
डिस्प्ले नहीं है कुछ नहीं है पर वगैरा,There is no display but text
कैसे करते हो सिंपल है दोस्तों फर्स्ट ये,"How do you do that is Simple fella, mate?"
जो चार्जिंग पॉड है ये आपको लगाना है और,What's chargeing the bottle is you have to do and you have to put it on.
दें ब्लूटूथ पे दिखता है पर हो जाता है,Let's look at the blues.
क्विक पर वगैरा हैं वो ड्रिंक का नाम का,Quick on it is the name of the drinks.
एक अप है वो आपको इंस्टॉल करना है और उधर,There's one over there's to put you in.
से आप कनेक्ट करके प्यार करते हो इसे वैसे,It's the kind of love you love to connect to.
दोस्तों ये कल आया हुआ है अभी हम नोट,He's come tomorrow we note right now.
रियली ज्यादा हमने इसे टेस्ट नहीं किया है,We haven't tested it too much.
बट ये देखिए रिकवरी जो है मेरी अभी मैं,See this divided one that's my right now.
मैंने ये कल रात को डाला हुआ था तो रिकवरी,I was putting it last night so I escaped.
दिखा रहा है इधर हार्ट रेट यह देखिए सो ये,Showing the heart rate here so that
जो अप भी है बोट ड्रिंक डेट अलसो लक्स,What's up is the boat breaka El Solis
क्यूट गुड स्पा तू लेवल्स क्या है सो,"Qt Good morning, what's the level."
दिखा रहा है टेंपरेचर जो है वो भी दिखा,Displaying the tabulators.
रहा है और अगर मैं अगर मैं डालता हूं तो,And if I do
जब चाहिए तब आप मेजर भी इसे कर पाओगे पर,You'll also be able to do this Major when needed but
एग्जांपल मैं हार्ट रेट लेट हूं आईटी इसे,Eggerm I'll lie down the heartt. IT'll lie down.
नो मेजरिंग लुक आते दिस  बीपीएम मेरा,No Major Looking Watching My DBBM
हार्ट रेट है डेट इस डेट एक चीज है सिर्फ,Your heart rate is the date this date is just one thing
इतना ही नहीं दोस्तों इसमें स्मार्ट टच,It's not that friends are smarter in it.
फीचर आता है सो और लोट ऑफ थिंग्स ऑन योर,The feature appears to be so and turned back on the Things on Yer
फोन आप इससे कर पाओगे सो एक एरिया है जहां,Call where you'll be able to do this
पे बेसिकली आप टच करोगे ऊपर नीचे करोगे,The basics you're gonna hit down.
जस्टिस या फिर टच से ऊपर नीचे करोगे यू,So you're going to be on the top of the pests or then to go up to the top.
कैन एक्चुअली स्क्रॉल पर एग्जांपल आप,Agjet you on Cain Acous scroll
ट्विटर पे हो और आपका जो में फीड है वो,You're on Twitter and your feeds are on.
आपको नीचे करना है डू लाइक दिस और आईटी,You have to do down the dodak and IT's gonna do it.
बिल कप स्क्रोलिंग गेसचर्स आर डर टच,Bill Steuling Gawrs R fear
गेसचर्स जो है वो है तो बेसिकली दोतीन,So he is the native two thirds
चीजें हमने ट्राई की ब्लूटूथ शूटर है अगर,Things we've got to shoot if we've won't.
आपको फोटो क्लिक करना है इधर से ही क्लिक,Click here to click you
कर पाओगे यस सो देवर आर फंक्शंस ऑन योर,I'll pay you sor Devar R. Fincens on Yoar
फोन डेट यू कैन ऑपरेट फ्रॉम हर वैसे हां,Phone date u couldn't work as well as all the yes.
