Hindi,English
सभी को नमस्कार मैं हूं हितेश आज हम फिल्म के बारे,I'm all welcome. Welly we're about the film today.
ट्रोफी एंड रिलेशंस  इसे काफी काफी भारी शब्द जो,"Trophii and Rispens, which is a very heavy word."
कि इस मूवी को डिस्ट्रेक्ट करते हैं हमें एक बार में,That transforms this tattoo into us at once
फ्यूचर यह तीनों एक ही टाइम पर दिखाए गए हैं अपन,Futivity is displayed at the same time
होते हुए और दूसरा डिस्ट्रेक्शन है मेन सीक्वेंस पर,And second resisting is on Manicens.
साथ में चलते रहते हैं जिन्हें बारबार शिफ्ट कर,Let's keep moving with those who can shift thebar
दिया जाता है इसी वजह से हर वर्ग को यह मूवी एक बार,That's why every class has this movie once
कर रहे होते हैं यहां पर हम एक सीढी एजेंट और साथी,We're here on a magic agent and partner.
रशियन मिलिट्री कर टॉप है भी दिखाया जाता है मगर,The English is also a military tax top but is also shown
मतलब यह है कि वह भी उन लोगों से मिला हुआ है अब जब,means that he's also met with those people when
तक यह ऑयल रशिया में होता है तो वहां की पुलिस फोर्स,"By the time it's in Russia, the police force is there"
नाम रखा गया है प्रोटेक्टम्इन्वेस्ट अब यहां पर यह,Named called Prottrest Now at it
रिवील होता है कि गुंडे वहां पर उस सीआईए एजेंट के,There's that villain that over there is the villain agent.
जिसके बैक पर एक रेड किचन होता है उसे अगर बचा लेता,"If he's a red cake on the back, he's gonna save it."
है और इसी बीच के अंदर प्रोटेक्टम्इन्वेस्ट सीधा,And in the middle of that is the Protinent Straight
से मारने की धमकी देते हैं और कहते हैं कि तुम हमें,"They threaten to kill us and say, ""You will kill us."""
इस पैकेज का पता बता दो अदरवाइज़ हम तुम्हें जान से,Tell me the package we're gonna kill you.
पर पाता है जहां पर एक आदमी से बातें करने लगता है,But finds where a man starts talking to.
वह से कहती है कि आखिरकार तो मुझे टेस्ट में पास,She tells me that at last I got a test
थ्री की तैयारियां हो चुकी है और हमने तुम्हें चुना,"She has already been prepared, and We have chosen you."
है ताकि तुम उस वर्ल्ड वॉर थ्री को रोक सको तो वहां,So that you may be able to stop the World War I.
यह लोग कौन है और क्यों इस वर्ल्ड वॉर इसको एक्टिव,"Who is this people, and why is this world fighting it?"
करना चाहते हैं वहां से वह लोग उसे एक पवन चक्की,From there they want him a wind mill.
एक सीक्रेट फैसिलिटी में ले जाया जाता है जहां पर,To where a Secret Classifier is moved
उसकी मुलाकात एक साइंटिस्ट होती है तब वह साइंटिस्ट,"When he meets a gas, he has a gas."
ही नहीं तब वहां पर वह कहती है इस सामने टारगेट करके,"Not at all, she says it's standing in front of her face."
इस ट्रिक को दबाओ और जैसी उठकर को दबाता है तो गोली,Press this trouble and suppress the bullet as it rises up.
यह सब कौन कर रहा है और आखिरी गोलियों तुम्हारे,Who's doing all this and your last shots?
पास कहां से आई तब वह साइंटिस्ट बताती है कि फ्यूचर,"Wherever he comes from, he tells Scientist that FFFF is"
को ढूंढना जो कि इन चीजों के समय को पलट रहे हैं इन,Search for the time of these things to return
बातों को ध्यान में रखकर प्रेगनेंसी उंगलियों के ऊपर,"With things in mind, siren's fingers."
तभी उसकी मुलाकात इस कहानी की एक और मेन कैरेक्टर,That's why he met another man character in this story.
से होती है जिसका नाम होता है नींबू से यह बताता है,is used to describe what is called a phallicity.
मेरे बारे में नील को इतना कैसे बताएं लेकिन वह,But how about me tell the Nile so much
इन बातों को साइड में रख कर उसे हाथ मिला लेता है,"Put these things in the side, and hold them in the side."
है ओपन का ऑप्शन है वह इंडिया की डिंपल कपाड़िया ही,Open is an issue of the map of India. It's a map of India.
वहां पर प्रिया रिवील कर दी कि उसने गोलियां रशियन,Priya agreed there that she had gunfires.
इंसान से जो कि उसी यह सारी की सारी चीजें सप्लाई,A Man Who Provides All the Things
कर रहा है अगर मंदिर तक पहुंच गए तो भविष्य के उसे,"If he reaches the temple, he will have the future"
है उसकी पत्नी जिसका नाम है कैट अगर तुम कैट से,"His wife, whose name is the Cat, if you from the cat."
मिल गए तो वह तुम्हें आंध्र तक पहुंचा सकती है मगर,"So you've got it, but it's up to you."
क्रश भी कर सकता है तुम जाकर उससे मिलो और तभी,You could also go and meet him and then do that.
वहां से प्रोटेक्शन स्टोनिल पुलिस से बचते बचाते,Guarding off the union lines from the police
ही ज्यादा महंगी थी मेरे पास में उसी प्रिंटर्स का,It was too expensive for me to have the same printer
ना भिगोया उस पेंटिंग की यह दूसरी नकल है अगर तुम वह,This is the second copy of the painting if you want to.
है जिसकी कॉपी तुमने बेटी थी आंध्र को पागल बना कर,There's a copy of which you had a daughter who's mad.
मगर तब कैट उसका झूठ समझ जाती है उसे यह पता लग जाता,But the cat finds out his lie
इमोशनल हो जाती है और प्रोटेक्शन इसको बताती है,"As soon as I'm done, I'm done and I'll tell you how it works."
कि एक टाइम था जब मैंने उसकी पेंटिंग को बेचा था इस,That was a time when I sold his painting
मैंने इसे काफी प्यार भरी बातें की और साथ में हमने,I've told him a lot of loving words and along with us
एक नई जिंदगी की शुरुआत करने का भी वादा किया मगर तब,He even promised to start a new life but then
के बाद में प्रोटेक्टम्इन्वेस्ट उससे वादा करता है,The Professsite promises to him after
वह से कहती है कि अगर मैं इस पेंटिंग उसकी तिजोरी,She tells her vault if I paint this painting
दोनों मिलकर इस पेंटिंग को चुराने की प्लानिंग करते,Together they plan to steal this painting.
अपने पता चलता है कि फसलों के अंदर ही रिपोर्ट के,"In its own sense, reports indicate that there are very few crops in the world."
भी कमी इंसान हूं और अपनी कुछ इंपोर्टेंट तस्वीरों,"I'm not a person, and I'm some of my peers."
को इस तिजोरी के अंदर जमा करवाना चाहता हूं और इसी,I want to store this vault inside and this is it.
ऑक्सीजन को  सेकंड के अंदर खत्म कर देते हैं जिससे,"Finish oxygen within seconds, with which to divide it."
कि कभी भी वहां पर आगे लगता है और इसी के साथ वहां,That sometimes goes on there and with it.
एक और गेम खेलते हैं वह एक ऐसा प्लेन क्रेश करवाते,Let's play another game he lets a planet crash.
हैं जिसके अंदर सोने की ईंटें  से दूसरे देश,There are other countries with gold bricks
छुड़ाने के लिए तैयार होते हैं वहां पर एक बहुत ही,They're ready to deliver a lot there
बड़े प्लेन को क्रश करवा देते हैं जिससे कि वहां पर,Let's turn the big planet off to hit that place...
हैं जिनमें से एक का कलर ब्लू और रेड कलर,The color of each of them is blue and yellow.
ऐड होता है और जैसी वहां पर पहुंचते हैं तो उन्हें,"As they reach it, they reach it."
है जिसका नाम है टेस्ट वन स्टाइल जो किस समय को पलटा,is the name where the test forest style will return
सकती है बेसिकली जो इंसान उसमें से निकला होता,It may be the root of the human race
लिए अब जो तुमने मुझसे वादा किया था आंध्र क्षेत्र,"for what you promised me,"
के साथ में एक मीटिंग फिक्स करने का अब वक्त आ गया,Time passed with a meeting
है कि तुम एक काम डीलर के साथसाथ ब्लैक मार्केट,That's the black market with a job dealer
की चीजों में भी काफी जगह इंट्रस्टेड और मेरे पास,"Even in the things of the world, I've got very space and I've got"
चलता है कि भविष्य के लोगों ने उसके लिए कुछ भविष्य,The future seems to have a bearing on what the future holds.
से भेजा है जो कि बेसिकली सोने की ईंटें होती है मगर,which is sent from the original gold bricks but
ईश्वर ने मिलकर उस प्लूटोनियम को छुड़ाने की तैयारी,"God, together, prepared to release the canonium"
करते हैं जिसके अंदर वह बताते हैं कि एक बहुत ही,The one in whom she tells a lot
के लिए बोलता है लेकिन तब वह मना कर देती है इसी,She tells the answer but then refuses
बात पर आंद्रे को काफी ज्यादा गुस्सा खैर साथियों,Andrew's great anger at talking too much.
ने तैयारी कर ली होती है उस प्लूटोनियम को चुराने,He's prepared to steal that canonium.
की वह अपनी सारी कारों ट्रेलर्स और बड़ी से ट्रक,She's all her cars and truck
गौतम क्या है इसके बारे में आपको आगे इस स्टोरी में,You're in this store next to this store about what is Gatham
बताऊंगा जब जुबान से निकली रहे होते हैं तब उनके,Tell them when they get out of the car
इस काम को अंजाम भी रही होती है जिनमें शामिल होती,This work has resulted in the outcome
है एक मर्सिडीज एक ऑडी और साथी एक  प्रोटेक्शन,There's a Murphyz a odi and a partner to make a projection.
आगे पीछे मत करना और अपनी शानदार चालाकी के साथ में,Do not follow in the footsteps of others and seek out your best interests
फाइनली आंध्र उसकी बॉडी के अंदर कूद जाता है और अपने,Final Halle jumps inside his body and its own
रूम एक होता है रेड कलर में और एक होता है ब्लू कलर,The room is one with red color and one with blue color.
में रेड कलर के रूप में जो भी लोग मौजूद होते हैं वह,Any people present in the form of red color.
नीस कहते है कि वह तुमने मुझसे चुरा लिया है यह बात,It's called the thing you stole from me.
है कि प्रोटेक्शन इसको उस टाइम तो समझ में नहीं,That's the deal it doesn't understand at that time.
था तुमने वह प्लूटोनियम किसे दिया और कहां पर गया,Who did you give that untonium and where you went?
कि मुझे पता है कि अब तो वह मेरे पास में नहीं है तो,I know he's not in my mind anymore
थी वह भी समय में पलटा युद्ध खोली थी और समय में आगे,The revenge was also opened in time and in time.
चलने वाली से पिटाई भी गोली काफी ज्यादा खतरनाक होती,The bullet would be too dangerous to blow even by a running-ground
गए तो यहां पर वह सारे गुंडे होंगे जिनका सामना अभी,So go here and face all those who are facing now.
हमने जस्ट  मिनट पहले किया था तो क्यों ना हम,"If we did that late minute ago, why wouldn't we?"
ही यह आप की पूरी टीम टेनिस ऑर्गेनाइजेशन का एक,And it's one of your whole team-subordination.
हिस्सा है जो कि फ्यूचर में बनने वाली है और उन्हें,It is part of those who are about to join that garden and to join it.
होगा तो क्यों न सबसे पहले मैं उस टाइम मशीन से गुजर,So why wouldn't I walk by the machine first that time?
हूं और उसके बाद में जब मैं उन दोनों को रास्ते से,And after that when I get them both out of the way
स्टाइल से कोई निकलेगा तो उसके लिए समय पीछे दौड़ेगा,Gets out of style someone's time is running back
इसका मतलब यह पूरा का पूरा एनवायरमेंट में कार्बन,That means it's entirely carbon in Enerrement.
जाता है वहीं एयरप्लेन क्रैश जिसके अंदर हमें दिखाई,There's an airist crash inside which we're shown.
गई थी वहीं चूरी जो कि इस मूवी के स्टार्टिंग में,It was broken into into that film's starting up
भी समय में पीछे पलट जाएगी इसलिए वह एकएक करके,"And it will be sent back in time, so that it will come back one by one."
सभी गोलियों को बंदूक से खाली करने की कोशिश करता,Trying to empty all bullets from the gun
जाने का मौका मिल जाता है जिसकी वजह से फाइनली कैट,"Because of the chance to leave, the Final Cat"
की हालत सुधरने लगती है अब यहां पर नियुक्त करता है,The condition seems to improve now puts it here.
चाहते हैं बेसिकली दुनिया को तबाह करने के लिए उसे,Wants the root to destroy the world
बिल्कुल समय के अंदर पीछे रिवर्ट करना होगा यानि कि,That must come back within a period of time.
है और जिस टुकड़े कि आंध्र को तलाश थी वह बेसिकली,And that which he sought was the root of that which he was looking for.
वह नाइंथ टुकड़ा ही था भेजो कि एल्गोरिदम का लास्ट,She was just a missing piece of the algorithm
करी थी जो तस्वीरों की बातें करने के लिए उससे,She was the one who was the one to talk to her about photos
मिलने के लिए गया था माइकल कॉलिंस ने उसे बताया था,Michael Collins told him
जान से मार दिया हुआ और मेरे ख्याल से वहां पर उसे,"Killed by death, and I thought he was there"
एक टाइम कैप्सूल मिला हुआ जो कि भविष्य के लोगों,A time caps found that future people
को अंजाम देकर लौटे होती है अपने ब्लू कंटेनर में,returns to your blue container
और वहीं पर ए टीम जो अब जाने वाली होती है पूर्व इस,And there's a team that is going to be going east this
से रोकने के लिए क्योंकि अगर ऐसा हुआ तो भविष्य के,"To prevent this from happening, what happens to the future?"
लोगों को वह एल्गोरिदम डिवाइस मिल जाएगा और इसी के,People will find that algorithm and have it
वह से वहां से खींचकर निकालने ही वाला होता है मगर,"he is about to draw away from it, except when it is drawn from it."
तभी उस कि कोई गोली चलाने वाला होता है लेकिन जैसी,"That's just like someone's gonna shoot, but"
आखिर तुमने यह सब क्यों किया इसका मतलब यह है कि,That means why you did it all
तुम सब कुछ पहले से जानते थे तब वहां पर नील बताता,"You knew everything already, and there the Nile would tell you"
है और तब उसे याद आता है कि नेशनल ओपेरा हॉल में,And then he is reminded that in the National Opera House
जिसे इंसान उसकी मदद करी थी वह और कोई नहीं बल्कि वह,The One Who Helped Him was none other than the One Who helped him.
मार देती है और पानी के अंदर पटक देती है और शादी,Killing and throwing into the water and marrying
खुद भी उस शिव से कुछ जाती है और यह वही सीन होता,Even that scooter gets something from it and it happens to it
वह कैट को जान से मारने के लिए उस स्कूल के पास में,She's near that school to kill the cat
पहुंच जाती है जहां पर कैट अपने बेटे मैक्स को लेने,Where the cat goes to take his son Max
बात हमारी दिल्ली में शामिल नहीं थी इसीलिए वह,That wasn't why our Delhi didn't join it
खुद प्रिया कोई जान से मार देता है और इसी के साथ तो,Priya kills her own suicide and with that she's the same.
समझ पाएं क्योंकि मेरे इस वीडियो को सभी एप्स के लोग,Make me understand because people of all apps have this video
देखते हैं जिनमें  साल से लेकर साल के लोग शामिल,Let's look at those who have been through years
मच फॉर वॉचिंग दिस वीडियो मिलते हैं अगले वीडियो में,"The following video is found in the Video You Can Live Forever in Paradise on Earth, at the Web site www.watchtower.org / ype"
